Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
aleatorio,0.1,0:36:01,0.8065,0.8239,0.8065,0.7937,100,0.1,0.3929,0.3135,0.2937
aleatorio,0.25,1:13:36,0.8065,0.8219,0.8065,0.7975,100,0.25,0.3333,0.319,0.3476
aleatorio,0.5,2:17:24,0.8038,0.8229,0.8038,0.7953,100,0.5,0.3413,0.3365,0.3222
aleatorio,0.75,3:19:17,0.8172,0.8356,0.8172,0.8107,100,0.75,0.3333,0.3328,0.3339
