Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final
100%,1.0,0:02:38,0.8010752688172043,0.826086361819415,0.8010752688172043,0.7929344861923833,1,0.86094975
RS,0.1,0:31:36,0.8602150537634409,0.8659087759461935,0.8602150537634409,0.8589820868301882,100,0.086094975
RS,0.25,1:03:58,0.8252688172043011,0.8281460565042655,0.8252688172043011,0.8176987668210804,100,0.21523744
RS,0.5,2:06:02,0.8252688172043011,0.8403117954842092,0.8252688172043011,0.8205399533274321,100,0.43047488
RS,0.75,2:50:17,0.8252688172043011,0.843972293091588,0.8252688172043011,0.8201843250280424,100,0.6457123
LS,0.1,0:30:37,0.8413978494623656,0.8428714667250038,0.8413978494623656,0.8363423970143313,100,0.086094975
LS,0.25,1:04:50,0.8575268817204301,0.8741239316239316,0.8575268817204301,0.8478987946730179,100,0.21523744
LS,0.5,1:59:18,0.8279569892473119,0.841787764411684,0.8279569892473119,0.8199641616117589,100,0.43047488
LS,0.75,2:51:16,0.8413978494623656,0.8450705055649878,0.8413978494623656,0.8359782962868516,100,0.6457123
GA,0.1,0:29:39,0.8870967741935484,0.8901811849205061,0.8870967741935484,0.8840285485263288,100,0.086094975
GA,0.25,1:03:45,0.8494623655913979,0.8528590690241772,0.8494623655913979,0.8438330006613612,100,0.21523744
GA,0.5,1:57:38,0.8440860215053764,0.8583476942490418,0.8440860215053764,0.8409379606720123,100,0.43047488
GA,0.75,2:50:16,0.8333333333333334,0.8513296050129598,0.8333333333333334,0.8307180337930427,100,0.6457123
MA,0.1,0:29:30,0.9247311827956989,0.9244640605296343,0.9247311827956989,0.9243203855815504,100,0.086094975
MA,0.25,1:02:18,0.8467741935483871,0.8495907223076635,0.8467741935483871,0.8418723296857817,100,0.21523744
MA,0.5,1:56:42,0.8252688172043011,0.8425234338828175,0.8252688172043011,0.8162540870855298,100,0.43047488
MA,0.75,2:48:57,0.8360215053763441,0.8457236446688304,0.8360215053763441,0.831100536547564,100,0.6457123
GA-WC,0.1,0:29:39,0.8844086021505376,0.8851309794071711,0.8844086021505376,0.8814267162797026,100,0.086094975
GA-WC,0.25,1:02:10,0.8602150537634409,0.882002442002442,0.8602150537634409,0.8500851286674348,100,0.21523744
GA-WC,0.5,1:57:35,0.8333333333333334,0.8485436740348887,0.8333333333333334,0.8243799581518241,100,0.43047488
GA-WC,0.75,2:49:17,0.8306451612903226,0.8447790335949394,0.8306451612903226,0.8244555634452756,100,0.6457123
GA-PR,0.1,0:29:24,0.8790322580645161,0.8804086989126358,0.8790322580645161,0.876692295701847,109,0.086094975
GA-PR,0.25,1:02:05,0.8575268817204301,0.8672696040343099,0.8575268817204301,0.8501079178413972,109,0.21523744
GA-PR,0.5,1:58:04,0.8333333333333334,0.8485436740348887,0.8333333333333334,0.8243799581518241,109,0.43047488
GA-PR,0.75,2:49:29,0.8387096774193549,0.8541717408454157,0.8387096774193549,0.8339080196224662,100,0.6457123
