Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final
100%,1.0,0:02:45,0.7849462365591398,0.8116918748319762,0.7849462365591398,0.7779192198829523,1,0.86094975
RS,0.1,0:33:28,0.8064516129032258,0.823869481464982,0.8064516129032258,0.79372170393744,100,0.086094975
RS,0.25,1:07:44,0.8064516129032258,0.8219336219336218,0.8064516129032258,0.7975235040931723,100,0.21523744
RS,0.5,2:14:32,0.803763440860215,0.8229134664618536,0.803763440860215,0.7952808609082166,100,0.43047488
RS,0.75,3:02:34,0.8172043010752689,0.83559366901773,0.8172043010752689,0.8106608331939701,100,0.6457123
LR,0.1,0:33:16,0.8145161290322581,0.8128507295173961,0.8145161290322581,0.8119612068965516,100,0.086094975
LR,0.25,1:08:07,0.8091397849462365,0.8263067061143984,0.8091397849462365,0.8042121090230908,100,0.21523744
LR,0.5,2:07:21,0.8064516129032258,0.8365623563306465,0.8064516129032258,0.8004902280491758,100,0.43047488
LR,0.75,3:03:08,0.8225806451612904,0.8473764727039428,0.8225806451612904,0.8145604004197634,100,0.6457123
GEN,0.1,0:33:14,0.7903225806451613,0.8125174825174825,0.7903225806451613,0.7734564513473465,100,0.086094975
GEN,0.25,1:07:00,0.8172043010752689,0.8362314336711926,0.8172043010752689,0.8089528961009692,100,0.21523744
GEN,0.5,2:05:09,0.8198924731182796,0.8403046259110516,0.8198924731182796,0.8127617844520781,100,0.43047488
GEN,0.75,3:01:54,0.8172043010752689,0.83559366901773,0.8172043010752689,0.8106608331939701,100,0.6457123
MEM,0.1,0:32:02,0.8145161290322581,0.8173575246385963,0.8145161290322581,0.8062882058336496,100,0.086094975
MEM,0.25,1:05:57,0.8145161290322581,0.830659266056061,0.8145161290322581,0.8059759156688513,100,0.21523744
MEM,0.5,2:04:27,0.8118279569892473,0.8359352808171706,0.8118279569892473,0.8034514976283783,100,0.43047488
MEM,0.75,3:02:02,0.8198924731182796,0.8474427235193374,0.8198924731182796,0.8100270251510341,100,0.6457123
WC,0.1,0:32:38,0.8279569892473119,0.8319657086578924,0.8279569892473119,0.8210533322682856,100,0.086094975
WC,0.25,1:05:51,0.8010752688172043,0.8225801910603489,0.8010752688172043,0.7952768594118805,100,0.21523744
WC,0.5,2:03:50,0.8118279569892473,0.8324564772145416,0.8118279569892473,0.8039251788504471,100,0.43047488
WC,0.75,3:03:28,0.8252688172043011,0.8450540096278032,0.8252688172043011,0.8197669659781505,100,0.6457123
PR,0.1,0:33:10,0.8091397849462365,0.8273382559774964,0.8091397849462365,0.7943326069077004,100,0.086094975
PR,0.25,1:06:29,0.8198924731182796,0.8332252919689251,0.8198924731182796,0.8150038003816328,100,0.21523744
PR,0.5,2:03:49,0.8172043010752689,0.8386468986016496,0.8172043010752689,0.8115125410505261,100,0.43047488
PR,0.75,2:55:46,0.8252688172043011,0.8450540096278032,0.8252688172043011,0.8197669659781505,100,0.6457123
