Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Airplane,Porcentaje Automobile,Porcentaje Bird,Porcentaje Cat,Porcentaje Deer,Porcentaje Dog,Porcentaje Frog,Porcentaje Horse,Porcentaje Ship,Porcentaje Truck
MA,0.1,4:40:11,0.744,0.7487,0.744,0.7447,100,0.1,0.0976,0.1002,0.1004,0.1016,0.0998,0.098,0.0914,0.1,0.1072,0.1038
MA,0.25,10:18:59,0.7644,0.7641,0.7644,0.7636,100,0.25,0.1,0.0931,0.1022,0.0966,0.1047,0.0967,0.1,0.1042,0.103,0.0994
MA,0.5,19:44:50,0.7747,0.7754,0.7747,0.7744,100,0.5,0.0996,0.1001,0.0972,0.0978,0.0999,0.0992,0.1011,0.1015,0.1036,0.1
MA,0.75,"1 day, 5:09:34",0.7786,0.7786,0.7786,0.7779,100,0.75,0.1002,0.0998,0.0981,0.1015,0.1009,0.0989,0.0997,0.0999,0.1009,0.1001
