Algoritmo,Porcentaje Inicial,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Drawings,Porcentaje Engraving,Porcentaje Iconography,Porcentaje Painting,Porcentaje Sculpture,Duracion
MA,0.25,0.9189399999999999,0.91626,0.9189399999999999,0.9167400000000001,100.0,0.25,0.14364,0.10084,0.26962,0.25792000000000004,0.22798,0 days 03:19:09.600000
MA,0.5,0.92734,0.92612,0.92734,0.9262600000000001,100.0,0.5,0.14776,0.09886,0.26674,0.26336,0.22324000000000002,0 days 06:26:18.200000
MA,0.75,0.931075,0.929325,0.931075,0.92985,100.0,0.75,0.14265,0.09847500000000001,0.269175,0.264425,0.225225,0 days 16:01:34.500000
MA-F,0.25,0.9224399999999999,0.92056,0.9224399999999999,0.9209400000000001,100.0,0.41352,0.14386000000000002,0.09963999999999999,0.26666,0.26478,0.22504,0 days 03:44:48.400000
MA-F,0.5,0.9310600000000001,0.9300200000000001,0.9310600000000001,0.9301400000000001,100.0,0.68692,0.14318,0.0979,0.26786,0.26552,0.22555999999999998,0 days 06:43:54.600000
MA-F,0.75,0.930175,0.928775,0.930175,0.92915,100.0,0.7828999999999999,0.143375,0.0989,0.266525,0.26515,0.226,0 days 11:44:55
RS,0.25,0.9179999999999999,0.91494,0.9179999999999999,0.9157,100.0,0.25,0.14838,0.10074000000000001,0.27066,0.25554,0.22466,0 days 03:19:09.600000
RS,0.5,0.9268599999999999,0.9252,0.9268599999999999,0.92546,100.0,0.5,0.14352,0.09696,0.26774,0.2702,0.22160000000000002,0 days 06:24:28.600000
RS,0.75,0.93135,0.929725,0.93135,0.930075,100.0,0.75,0.14397500000000002,0.0979,0.266675,0.261775,0.2297,0 days 19:14:48.500000
