Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Drawings,Porcentaje Engraving,Porcentaje Iconography,Porcentaje Painting,Porcentaje Sculpture
MEM,0.25,3:14:11,0.9194,0.917,0.9194,0.9174,100,0.25,0.1389,0.0948,0.2725,0.2544,0.2394
MEM,0.5,6:06:05,0.9252,0.9232,0.9252,0.9235,100,0.5,0.1477,0.1034,0.2617,0.2666,0.2207
