Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
genetico2,0.1,0:30:08,0.8253,0.8274,0.8253,0.8193,100,0.1,0.3532,0.2937,0.3532
genetico2,0.25,1:03:02,0.828,0.8357,0.828,0.8193,100,0.25,0.3159,0.327,0.3571
genetico2,0.5,1:59:52,0.8118,0.8335,0.8118,0.8074,100,0.5,0.3349,0.3452,0.3198
genetico2,0.75,2:53:43,0.8145,0.8356,0.8145,0.8038,100,0.75,0.3286,0.345,0.3265
