Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final
-,1.0,0:09:14,0.9205607476635514,0.91857609542415,0.9205607476635514,0.9190988692106031,1,0.90018654
aleatorio,0.1,1:43:26,0.9030373831775701,0.8995737676003972,0.9030373831775701,0.9009427195396603,100,0.09001866
busqueda local,0.1,1:43:22,0.9065420560747663,0.9032258736256857,0.9065420560747663,0.9034144356175298,100,0.09001866
genetico,0.1,1:44:14,0.9018691588785047,0.8980467653487867,0.9018691588785047,0.8995990543808174,100,0.09001866
memetico,0.1,1:43:29,0.9018691588785047,0.8985565240009448,0.9018691588785047,0.8998408002655773,100,0.09001866
genetico2,0.1,1:44:53,0.9018691588785047,0.8988109683730856,0.9018691588785047,0.8999004476093836,100,0.09001866
genetico3,0.1,1:41:28,0.9018691588785047,0.8989794850625674,0.9018691588785047,0.9002723037453182,100,0.09001866
