Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Drawings,Porcentaje Engraving,Porcentaje Iconography,Porcentaje Painting,Porcentaje Sculpture
MEM,0.25,3:24:01,0.9194,0.9175,0.9194,0.9181,100,0.25,0.1492,0.1031,0.2741,0.2482,0.2254
MEM,0.5,6:36:31,0.9276,0.9264,0.9276,0.9267,100,0.5,0.1484,0.0969,0.2692,0.2614,0.2241
