

---------------------------------------mobilenet  BUSQUEDA LOCAL  25%----------------------------------------------

Evaluación 1 -> 2025-02-23_17-06
Evaluación 2 -> 2025-02-23_17-06
Evaluación 3 -> 2025-02-23_17-06
Evaluación 4 -> 2025-02-23_17-06
Evaluación 5 -> 2025-02-23_17-06
Evaluación 6 -> 2025-02-23_17-06
Evaluación 7 -> 2025-02-23_17-06
Evaluación 8 -> 2025-02-23_17-06
Evaluación 9 -> 2025-02-23_17-06
Evaluación 10 -> 2025-02-23_17-06
