,Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
0,aleatorio,0.1,0 days 01:29:43,0.8522,0.8605,0.8522,0.851,100,0.1,0.3254,0.3214,0.3532
1,aleatorio,0.75,0 days 04:00:22,0.9032,0.9081,0.9032,0.9014,100,0.75,0.3413,0.3381,0.3206
0,aleatorio,0.1,0 days 01:29:41,0.8441,0.8572,0.8441,0.8437,100,0.1,0.3333,0.3056,0.3611
1,aleatorio,0.75,0 days 04:05:08,0.8844,0.8952,0.8844,0.881,100,0.75,0.336,0.3265,0.3376
0,aleatorio,0.1,0 days 01:32:11,0.8522,0.8669,0.8522,0.8501,100,0.1,0.3571,0.3413,0.3016
1,aleatorio,0.75,0 days 04:12:21,0.9059,0.9128,0.9059,0.9045,100,0.75,0.3354,0.3254,0.3392
0,aleatorio,0.1,0 days 01:32:14,0.8495,0.8645,0.8495,0.8479,100,0.1,0.3294,0.3532,0.3175
1,aleatorio,0.75,0 days 04:12:22,0.8952,0.896,0.8952,0.8944,100,0.75,0.3291,0.3339,0.337
0,aleatorio,0.1,0 days 00:44:16,0.8602,0.866,0.8602,0.8584,100,0.1,0.3254,0.3254,0.3492
1,aleatorio,0.75,0 days 02:53:13,0.9059,0.9144,0.9059,0.9036,100,0.75,0.3307,0.346,0.3233
