,Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
0,-,1.0,0 days 00:02:44,0.9032,0.9088,0.9032,0.9021,1,1.0,0.3333,0.3333,0.3333
1,aleatorio,0.25,0 days 01:25:29,0.8629,0.8689,0.8629,0.8599,100,0.25,0.346,0.3508,0.3032
2,aleatorio,0.5,0 days 02:18:26,0.8952,0.9033,0.8952,0.8941,100,0.5,0.319,0.3373,0.3437
0,-,1.0,0 days 00:02:44,0.8683,0.8823,0.8683,0.8645,1,1.0,0.3333,0.3333,0.3333
1,aleatorio,0.25,0 days 01:25:29,0.8737,0.884,0.8737,0.8735,100,0.25,0.346,0.3302,0.3238
2,aleatorio,0.5,0 days 02:18:44,0.8763,0.886,0.8763,0.8739,100,0.5,0.3421,0.3246,0.3333
0,-,1.0,0 days 00:03:07,0.8925,0.9001,0.8925,0.8906,1,1.0,0.3333,0.3333,0.3333
1,aleatorio,0.25,0 days 01:36:07,0.8629,0.8768,0.8629,0.8591,100,0.25,0.319,0.346,0.3349
2,aleatorio,0.5,0 days 02:43:27,0.8817,0.8928,0.8817,0.8792,100,0.5,0.3397,0.3349,0.3254
0,-,1.0,0 days 00:03:13,0.8522,0.8689,0.8522,0.8493,1,1.0,0.3333,0.3333,0.3333
1,aleatorio,0.25,0 days 01:39:05,0.8737,0.8798,0.8737,0.8717,100,0.25,0.3222,0.3524,0.3254
2,aleatorio,0.5,0 days 02:53:54,0.8817,0.8923,0.8817,0.8791,100,0.5,0.3405,0.323,0.3365
0,-,1.0,0 days 00:02:49,0.8548,0.8763,0.8548,0.8525,1,1.0,0.3333,0.3333,0.3333
1,aleatorio,0.25,0 days 01:15:01,0.8898,0.8972,0.8898,0.887,100,0.25,0.3302,0.3429,0.327
2,aleatorio,0.5,0 days 02:01:53,0.8898,0.901,0.8898,0.8885,100,0.5,0.327,0.3333,0.3397
