Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
genetico,0.1,0:30:13,0.8253,0.8277,0.8253,0.8209,100,0.1,0.3492,0.3175,0.3333
genetico,0.25,1:03:01,0.828,0.8312,0.828,0.8219,100,0.25,0.3429,0.2984,0.3587
genetico,0.5,1:57:58,0.8011,0.8224,0.8011,0.7947,100,0.5,0.3246,0.3222,0.3532
genetico,0.75,2:52:27,0.8226,0.8401,0.8226,0.8133,100,0.75,0.3381,0.3328,0.3291
