Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors,Origen
WC-F,0.25,1:29:28,0.8145,0.8257,0.8145,0.8105,100,0.1798,0.3907,0.3135,0.2958,finales
WC-F,0.5,2:23:33,0.8199,0.8354,0.8199,0.8154,100,0.9933,0.332,0.3348,0.3332,finales
WC-F,0.75,2:44:26,0.8226,0.8423,0.8226,0.817,100,0.6,0.3175,0.3439,0.3386,finales
WC-F,0.1,0:51:14,0.8226,0.8244,0.8226,0.8205,100,0.1274,0.3645,0.3084,0.3271,finales
WC-F,0.25,1:47:22,0.8333,0.8436,0.8333,0.8283,100,0.471,0.3294,0.3404,0.3302,finales
WC-F,0.5,2:46:42,0.8226,0.8346,0.8226,0.8155,100,0.531,0.3318,0.3416,0.3266,finales
WC-F,0.75,3:14:51,0.8226,0.8352,0.8226,0.8179,100,0.5151,0.3351,0.3267,0.3382,finales
PR,0.1,0:30:27,0.8065,0.8213,0.8065,0.7955,100,0.1,0.369,0.3016,0.3294,finales
PR,0.25,1:02:20,0.8226,0.8337,0.8226,0.8178,100,0.25,0.3222,0.3333,0.3444,finales
PR,0.5,1:58:32,0.8011,0.8224,0.8011,0.7947,100,0.5,0.3246,0.3222,0.3532,finales
PR,0.75,2:52:39,0.8145,0.8364,0.8145,0.8012,100,0.75,0.3296,0.3397,0.3307,finales
PR,0.1,0:30:36,0.793,0.8128,0.793,0.7791,100,0.1,0.3056,0.377,0.3175,finales
PR,0.25,1:02:25,0.8011,0.8132,0.8011,0.7938,100,0.25,0.3222,0.3286,0.3492,finales
PR,0.5,1:58:48,0.8065,0.8306,0.8065,0.7993,100,0.5,0.3262,0.3365,0.3373,finales
PR,0.75,2:52:41,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307,finales
PR,0.1,0:33:50,0.871,0.8707,0.871,0.8684,100,0.1,0.3651,0.3571,0.2778,finales
PR,0.25,1:09:38,0.836,0.845,0.836,0.8293,100,0.25,0.346,0.346,0.3079,finales
PR,0.5,2:09:30,0.8333,0.8477,0.8333,0.8267,100,0.5,0.3444,0.3397,0.3159,finales
PR,0.75,3:03:17,0.8333,0.8373,0.8333,0.8285,100,0.75,0.336,0.3243,0.3397,finales
PR,0.1,0:38:14,0.8199,0.8445,0.8199,0.8061,100,0.1,0.2897,0.3056,0.4048,finales
PR,0.25,1:21:49,0.8145,0.8328,0.8145,0.8092,100,0.25,0.3238,0.3222,0.354,finales
PR,0.5,2:33:50,0.8118,0.8314,0.8118,0.8008,100,0.5,0.3222,0.3317,0.346,finales
PR,0.75,3:40:20,0.8199,0.8309,0.8199,0.8132,100,0.75,0.3376,0.3328,0.3296,finales
PR,0.1,0:37:46,0.8441,0.8451,0.8441,0.844,100,0.1,0.3611,0.3214,0.3175,finales
PR,0.25,1:21:06,0.7984,0.8188,0.7984,0.7887,100,0.25,0.3286,0.3587,0.3127,finales
PR,0.5,2:33:36,0.8011,0.826,0.8011,0.7926,100,0.5,0.327,0.3373,0.3357,finales
PR,0.75,3:36:41,0.8199,0.841,0.8199,0.8152,100,0.75,0.3317,0.337,0.3312,finales
MEM,0.1,0:30:09,0.8118,0.8161,0.8118,0.8036,100,0.1,0.3492,0.2937,0.3571,finales
MEM,0.25,1:02:41,0.8199,0.8341,0.8199,0.8109,100,0.25,0.3159,0.3317,0.3524,finales
MEM,0.5,1:59:23,0.8065,0.8307,0.8065,0.8022,100,0.5,0.3262,0.3357,0.3381,finales
MEM,0.75,2:52:27,0.828,0.8434,0.828,0.8182,100,0.75,0.3307,0.3423,0.327,finales
MEM,0.1,0:30:11,0.7903,0.8099,0.7903,0.7755,100,0.1,0.3492,0.2937,0.3571,finales
MEM,0.25,1:02:39,0.8065,0.8193,0.8065,0.7971,100,0.25,0.3302,0.3222,0.3476,finales
MEM,0.5,1:59:43,0.8118,0.8298,0.8118,0.8058,100,0.5,0.346,0.3222,0.3317,finales
MEM,0.75,2:52:43,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307,finales
