,Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors,Origen
73,genetico3,0.25,0 days 01:21:49,0.8145,0.8328,0.8145,0.8092,100,0.25,0.3238,0.3222,0.354,finales
74,genetico3,0.5,0 days 02:33:50,0.8118,0.8314,0.8118,0.8008,100,0.5,0.3222,0.3317,0.346,finales
75,genetico3,0.75,0 days 03:40:20,0.8199,0.8309,0.8199,0.8132,100,0.75,0.3376,0.3328,0.3296,finales
76,genetico3,0.1,0 days 00:37:46,0.8441,0.8451,0.8441,0.844,100,0.1,0.3611,0.3214,0.3175,finales
77,genetico3,0.25,0 days 01:21:06,0.7984,0.8188,0.7984,0.7887,100,0.25,0.3286,0.3587,0.3127,finales
78,genetico3,0.5,0 days 02:33:36,0.8011,0.826,0.8011,0.7926,100,0.5,0.327,0.3373,0.3357,finales
79,genetico3,0.75,0 days 03:36:41,0.8199,0.841,0.8199,0.8152,100,0.75,0.3317,0.337,0.3312,finales
80,memetico,0.1,0 days 00:30:09,0.8118,0.8161,0.8118,0.8036,100,0.1,0.3492,0.2937,0.3571,finales
81,memetico,0.25,0 days 01:02:41,0.8199,0.8341,0.8199,0.8109,100,0.25,0.3159,0.3317,0.3524,finales
82,memetico,0.5,0 days 01:59:23,0.8065,0.8307,0.8065,0.8022,100,0.5,0.3262,0.3357,0.3381,finales
83,memetico,0.75,0 days 02:52:27,0.828,0.8434,0.828,0.8182,100,0.75,0.3307,0.3423,0.327,finales
84,memetico,0.1,0 days 00:30:11,0.7903,0.8099,0.7903,0.7755,100,0.1,0.3492,0.2937,0.3571,finales
85,memetico,0.25,0 days 01:02:39,0.8065,0.8193,0.8065,0.7971,100,0.25,0.3302,0.3222,0.3476,finales
86,memetico,0.5,0 days 01:59:43,0.8118,0.8298,0.8118,0.8058,100,0.5,0.346,0.3222,0.3317,finales
87,memetico,0.75,0 days 02:52:43,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307,finales
88,memetico,0.1,0 days 00:32:59,0.8817,0.8817,0.8817,0.8804,100,0.1,0.373,0.3571,0.2698,finales
89,memetico,0.25,0 days 01:10:39,0.8414,0.8671,0.8414,0.8274,100,0.25,0.3333,0.354,0.3127,finales
90,memetico,0.5,0 days 02:09:27,0.8441,0.8509,0.8441,0.8385,100,0.5,0.3524,0.3222,0.3254,finales
91,memetico,0.75,0 days 03:11:37,0.8306,0.8467,0.8306,0.8257,100,0.75,0.3307,0.3275,0.3418,finales
92,memetico,0.1,0 days 00:52:48,0.8226,0.8389,0.8226,0.8111,100,0.1,0.3373,0.2857,0.377,finales
93,memetico,0.25,0 days 01:21:02,0.8253,0.8332,0.8253,0.8191,100,0.25,0.3444,0.3016,0.354,finales
94,memetico,0.5,0 days 02:29:27,0.8038,0.8242,0.8038,0.7977,100,0.5,0.3341,0.3278,0.3381,finales
95,memetico,0.75,0 days 03:35:40,0.8199,0.8474,0.8199,0.81,100,0.75,0.3354,0.3344,0.3302,finales
96,memetico,0.1,0 days 00:52:46,0.8253,0.8347,0.8253,0.8222,100,0.1,0.4365,0.2778,0.2857,finales
97,memetico,0.25,0 days 01:20:54,0.7796,0.7964,0.7796,0.7702,100,0.25,0.3238,0.3175,0.3587,finales
98,memetico,0.5,0 days 02:28:35,0.8091,0.8313,0.8091,0.8057,100,0.5,0.3373,0.3286,0.3341,finales
99,memetico,0.75,0 days 03:34:52,0.8226,0.8412,0.8226,0.8183,100,0.75,0.3376,0.3275,0.3349,finales
100,genetico,0.1,0 days 00:24:38,0.8414,0.8455,0.8414,0.8367,100,0.1,0.3214,0.3254,0.3532,finales_2
101,genetico,0.25,0 days 00:50:27,0.8253,0.8315,0.8253,0.8206,100,0.25,0.3286,0.3286,0.3429,finales_2
102,genetico,0.5,0 days 01:34:33,0.8011,0.8224,0.8011,0.7947,100,0.5,0.3246,0.3222,0.3532,finales_2
103,genetico,0.75,0 days 02:17:08,0.8306,0.8488,0.8306,0.8192,100,0.75,0.3386,0.3444,0.3169,finales_2
104,genetico,0.1,0 days 00:30:34,0.7634,0.7959,0.7634,0.7484,100,0.1,0.3294,0.3214,0.3492,finales_2
105,genetico,0.25,0 days 01:01:51,0.8145,0.8257,0.8145,0.8048,100,0.25,0.3492,0.319,0.3317,finales_2
106,genetico,0.5,0 days 01:55:51,0.8011,0.8188,0.8011,0.7952,100,0.5,0.3246,0.3484,0.327,finales_2
107,genetico,0.75,0 days 02:48:01,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307,finales_2
108,genetico,0.1,0 days 00:31:55,0.8844,0.8861,0.8844,0.8838,100,0.1,0.3968,0.3254,0.2778,finales_2
109,genetico,0.25,0 days 01:04:57,0.8414,0.8429,0.8414,0.8367,100,0.25,0.3444,0.3143,0.3413,finales_2
110,genetico,0.5,0 days 02:01:09,0.8199,0.8339,0.8199,0.8127,100,0.5,0.331,0.3341,0.3349,finales_2
111,genetico,0.75,0 days 02:53:42,0.8414,0.8498,0.8414,0.8366,100,0.75,0.3307,0.3323,0.337,finales_2
112,genetico,0.1,0 days 00:31:00,0.8038,0.8161,0.8038,0.7935,100,0.1,0.3294,0.3214,0.3492,finales_2
113,genetico,0.25,0 days 01:02:11,0.8199,0.8313,0.8199,0.8133,100,0.25,0.3587,0.3302,0.3111,finales_2
114,genetico,0.5,0 days 01:56:19,0.8253,0.8479,0.8253,0.8146,100,0.5,0.3397,0.331,0.3294,finales_2
115,genetico,0.75,0 days 02:48:34,0.828,0.8474,0.828,0.8217,100,0.75,0.3344,0.3323,0.3333,finales_2
116,genetico,0.1,0 days 00:24:26,0.8253,0.8437,0.8253,0.8163,100,0.1,0.3532,0.2778,0.369,finales_2
117,genetico,0.25,0 days 00:50:12,0.7688,0.7998,0.7688,0.7619,100,0.25,0.3048,0.346,0.3492,finales_2
118,genetico,0.5,0 days 01:33:29,0.8091,0.8223,0.8091,0.7986,100,0.5,0.3397,0.3325,0.3278,finales_2
119,genetico,0.75,0 days 02:16:15,0.8226,0.84,0.8226,0.8181,100,0.75,0.3296,0.3339,0.3365,finales_2
120,genetico2,0.1,0 days 00:24:11,0.828,0.8298,0.828,0.8217,100,0.1,0.3532,0.3095,0.3373,finales_2
121,genetico2,0.25,0 days 00:49:55,0.8387,0.8451,0.8387,0.8345,100,0.25,0.3222,0.3238,0.354,finales_2
122,genetico2,0.5,0 days 01:33:07,0.8011,0.8224,0.8011,0.7947,100,0.5,0.3246,0.3222,0.3532,finales_2
123,genetico2,0.75,0 days 02:16:55,0.8226,0.8328,0.8226,0.8146,100,0.75,0.3397,0.3354,0.3249,finales_2
124,genetico2,0.1,0 days 00:29:44,0.7984,0.8142,0.7984,0.7872,100,0.1,0.381,0.25,0.369,finales_2
125,genetico2,0.25,0 days 01:01:43,0.8038,0.8232,0.8038,0.7978,100,0.25,0.3524,0.3286,0.319,finales_2
126,genetico2,0.5,0 days 01:55:01,0.8118,0.8202,0.8118,0.8053,100,0.5,0.3556,0.3206,0.3238,finales_2
127,genetico2,0.75,0 days 02:47:30,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307,finales_2
128,genetico2,0.1,0 days 00:30:23,0.8763,0.877,0.8763,0.8762,100,0.1,0.381,0.3492,0.2698,finales_2
129,genetico2,0.25,0 days 01:03:28,0.8602,0.8643,0.8602,0.8559,100,0.25,0.346,0.327,0.327,finales_2
130,genetico2,0.5,0 days 01:58:38,0.8226,0.8388,0.8226,0.8137,100,0.5,0.3484,0.3206,0.331,finales_2
131,genetico2,0.75,0 days 02:52:41,0.828,0.8412,0.828,0.8238,100,0.75,0.337,0.3238,0.3392,finales_2
132,genetico2,0.1,0 days 00:30:06,0.8306,0.8389,0.8306,0.8222,100,0.1,0.3214,0.2857,0.3929,finales_2
133,genetico2,0.25,0 days 01:01:56,0.8065,0.8236,0.8065,0.7964,100,0.25,0.3365,0.3079,0.3556,finales_2
134,genetico2,0.5,0 days 01:55:51,0.8118,0.8253,0.8118,0.8038,100,0.5,0.3444,0.3294,0.3262,finales_2
135,genetico2,0.75,0 days 02:48:00,0.8172,0.8356,0.8172,0.8107,100,0.75,0.3333,0.3328,0.3339,finales_2
136,genetico2,0.1,0 days 00:23:52,0.8495,0.8521,0.8495,0.8474,100,0.1,0.3452,0.3492,0.3056,finales_2
137,genetico2,0.25,0 days 00:50:22,0.8118,0.828,0.8118,0.8046,100,0.25,0.3095,0.3397,0.3508,finales_2
138,genetico2,0.5,0 days 01:34:59,0.8091,0.8241,0.8091,0.8032,100,0.5,0.3238,0.3452,0.331,finales_2
139,genetico2,0.75,0 days 02:18:18,0.8226,0.8395,0.8226,0.8178,100,0.75,0.3312,0.3365,0.3323,finales_2
140,genetico2 (libre),0.1,0 days 00:34:29,0.828,0.833,0.828,0.8212,100,0.1714,0.3241,0.3495,0.3264,finales_2
141,genetico2 (libre),0.25,0 days 01:01:17,0.8145,0.828,0.8145,0.8084,100,0.4921,0.3371,0.3298,0.3331,finales_2
142,genetico2 (libre),0.5,0 days 02:14:05,0.8199,0.8375,0.8199,0.8127,100,0.623,0.3331,0.335,0.3318,finales_2
143,genetico2 (libre),0.75,0 days 02:12:18,0.8118,0.8326,0.8118,0.7996,100,0.75,0.3397,0.3354,0.3249,finales_2
