Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Airplane,Porcentaje Automobile,Porcentaje Bird,Porcentaje Cat,Porcentaje Deer,Porcentaje Dog,Porcentaje Frog,Porcentaje Horse,Porcentaje Ship,Porcentaje Truck
GA-AM-F,0.1,4:43:54,0.7425,0.7452,0.7425,0.7424,100,0.1,0.0976,0.0984,0.1054,0.1018,0.0994,0.0992,0.1046,0.095,0.1026,0.096
GA-AM-F,0.25,10:38:02,0.7627,0.7641,0.7627,0.7631,100,0.25,0.0979,0.0975,0.1022,0.1016,0.1023,0.0964,0.0996,0.0998,0.1009,0.1018
GA-AM-F,0.5,20:14:01,0.7749,0.7739,0.7749,0.774,100,0.5,0.1,0.0986,0.1021,0.101,0.101,0.0988,0.1004,0.0977,0.1011,0.0994
GA-AM-F,0.75,"1 day, 5:57:26",0.7804,0.7804,0.7804,0.7799,100,0.75,0.0998,0.0996,0.0999,0.1002,0.1006,0.1005,0.1009,0.1002,0.099,0.0994
