Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
LR,0.1,0:30:44,0.8252688172043011,0.8425925925925927,0.8252688172043011,0.8147905400533565,101,0.1,0.32936507,0.35714287,0.31349206
GEN,0.1,0:30:15,0.8682795698924731,0.8743875663107652,0.8682795698924731,0.8631464022462344,101,0.1,0.36507937,0.2936508,0.34126985
WC,0.1,0:30:25,0.8494623655913979,0.848170646333292,0.8494623655913979,0.8458666951354044,101,0.1,0.40079364,0.2936508,0.30555555
PR,0.1,0:30:19,0.8440860215053764,0.8537318235383764,0.8440860215053764,0.8380727174839208,101,0.1,0.31746033,0.33333334,0.34920636
