Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
LR,0.1,0:03:44,0.7876344086021505,0.7931521338909624,0.7876344086021505,0.7811789285380538,5,0.1,0.4047619,0.31349206,0.28174603
GEN,0.1,0:07:27,0.7876344086021505,0.7931521338909624,0.7876344086021505,0.7811789285380538,10,0.1,0.4047619,0.31349206,0.28174603
WC,0.1,0:07:31,0.7876344086021505,0.7931521338909624,0.7876344086021505,0.7811789285380538,10,0.1,0.4047619,0.31349206,0.28174603
PR,0.1,0:03:45,0.7876344086021505,0.7931521338909624,0.7876344086021505,0.7811789285380538,10,0.1,0.4047619,0.31349206,0.28174603
