Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Airplane,Porcentaje Automobile,Porcentaje Bird,Porcentaje Cat,Porcentaje Deer,Porcentaje Dog,Porcentaje Frog,Porcentaje Horse,Porcentaje Ship,Porcentaje Truck
GA-AM,0.1,3:16:55,0.7599256284200502,0.7613938070616066,0.7590764856700849,0.7602333804714452,100,0.14,0.101,0.0968,0.1026,0.0962,0.1008,0.0946,0.1048,0.1038,0.1018,0.0976
GA-AM,0.25,7:15:38,0.7748960437305897,0.775686481685187,0.7744408343865268,0.7750631575483398,100,0.33,0.0986,0.0992,0.1048,0.0967,0.0964,0.1022,0.1014,0.0998,0.101,0.0998
GA-AM,0.5,13:56:20,0.794299334824507,0.7955446383993544,0.795810839507327,0.79567771668785,100,0.58,0.0984,0.1024,0.1024,0.0998,0.0987,0.0982,0.0991,0.1,0.1013,0.0999
GA-AM,0.75,20:34:17,0.7901749067115331,0.788643954368701,0.788495166887884,0.7885695536094788,100,0.86,0.1018,0.0998,0.0998,0.1001,0.0991,0.0998,0.1022,0.0984,0.0996,0.0995
