

---------------------------------------PAINTING  mobilenet  ALEATORIO  75%----------------------------------------------

Start time: 2025-06-12 03:23:08.509041 UTC
Evaluación 1 -> 2025-06-12 03:30:26.477077 UTC
Evaluación 2 -> 2025-06-12 03:37:22.060515 UTC
Evaluación 3 -> 2025-06-12 03:44:20.117257 UTC
Evaluación 4 -> 2025-06-12 03:51:15.340808 UTC
Evaluación 5 -> 2025-06-12 03:58:22.832440 UTC
Evaluación 6 -> 2025-06-12 04:05:15.890721 UTC
Evaluación 7 -> 2025-06-12 04:12:08.846156 UTC
Evaluación 8 -> 2025-06-12 04:19:01.170999 UTC
Evaluación 9 -> 2025-06-12 04:25:55.383593 UTC
Evaluación 10 -> 2025-06-12 04:32:48.461506 UTC
Evaluación 11 -> 2025-06-12 04:39:38.396741 UTC
Evaluación 12 -> 2025-06-12 04:46:29.070150 UTC
Evaluación 13 -> 2025-06-12 04:53:21.136380 UTC
Evaluación 14 -> 2025-06-12 05:00:16.011694 UTC
Evaluación 15 -> 2025-06-12 05:07:09.363015 UTC
Evaluación 16 -> 2025-06-12 05:14:02.567169 UTC
Evaluación 17 -> 2025-06-12 05:20:58.649220 UTC
Evaluación 18 -> 2025-06-12 05:27:50.079060 UTC
Evaluación 19 -> 2025-06-12 05:34:44.211990 UTC
Evaluación 20 -> 2025-06-12 05:41:38.462022 UTC
Evaluación 21 -> 2025-06-12 05:48:31.305145 UTC
Evaluación 22 -> 2025-06-12 05:55:25.299936 UTC
Evaluación 23 -> 2025-06-12 06:02:21.499067 UTC
Evaluación 24 -> 2025-06-12 06:09:15.145666 UTC
Evaluación 25 -> 2025-06-12 06:16:10.154585 UTC
Evaluación 26 -> 2025-06-12 06:23:04.539689 UTC
Evaluación 27 -> 2025-06-12 06:29:58.085537 UTC
Evaluación 28 -> 2025-06-12 06:36:51.011566 UTC
Evaluación 29 -> 2025-06-12 06:43:43.957458 UTC
Evaluación 30 -> 2025-06-12 06:50:40.145114 UTC
Evaluación 31 -> 2025-06-12 06:57:33.225441 UTC
Evaluación 32 -> 2025-06-12 07:04:25.856603 UTC
Evaluación 33 -> 2025-06-12 07:11:21.172063 UTC
Evaluación 34 -> 2025-06-12 07:18:18.010117 UTC
Evaluación 35 -> 2025-06-12 07:25:12.574200 UTC
Evaluación 36 -> 2025-06-12 07:32:07.697278 UTC
Evaluación 37 -> 2025-06-12 07:39:31.556900 UTC
Evaluación 38 -> 2025-06-12 07:46:22.812480 UTC
Evaluación 39 -> 2025-06-12 07:53:12.532663 UTC
Evaluación 40 -> 2025-06-12 08:00:04.871477 UTC
Evaluación 41 -> 2025-06-12 08:07:23.339561 UTC
Evaluación 42 -> 2025-06-12 08:14:35.176179 UTC
Evaluación 43 -> 2025-06-12 08:21:28.180748 UTC
Evaluación 44 -> 2025-06-12 08:28:26.302490 UTC
Evaluación 45 -> 2025-06-12 08:35:25.082163 UTC
Evaluación 46 -> 2025-06-12 08:42:14.410700 UTC
Evaluación 47 -> 2025-06-12 08:49:06.038277 UTC
Evaluación 48 -> 2025-06-12 08:55:57.913530 UTC
Evaluación 49 -> 2025-06-12 09:03:12.580393 UTC
Evaluación 50 -> 2025-06-12 09:10:39.798779 UTC
Evaluación 51 -> 2025-06-12 09:18:01.391171 UTC
Evaluación 52 -> 2025-06-12 09:25:19.911418 UTC
Evaluación 53 -> 2025-06-12 09:32:38.374941 UTC
Evaluación 54 -> 2025-06-12 09:40:05.182191 UTC
Evaluación 55 -> 2025-06-12 09:47:32.093643 UTC
Evaluación 56 -> 2025-06-12 09:55:00.315753 UTC
Evaluación 57 -> 2025-06-12 10:02:22.144394 UTC
Evaluación 58 -> 2025-06-12 10:10:10.226347 UTC
Evaluación 59 -> 2025-06-12 10:18:05.452794 UTC
Evaluación 60 -> 2025-06-12 10:25:20.095224 UTC
Evaluación 61 -> 2025-06-12 10:32:47.278611 UTC
Evaluación 62 -> 2025-06-12 10:40:10.556180 UTC
Evaluación 63 -> 2025-06-12 10:47:29.742214 UTC
Evaluación 64 -> 2025-06-12 10:54:44.862077 UTC
Evaluación 65 -> 2025-06-12 11:02:07.668238 UTC
Evaluación 66 -> 2025-06-12 11:09:35.631142 UTC
Evaluación 67 -> 2025-06-12 11:17:03.741944 UTC
Evaluación 68 -> 2025-06-12 11:24:18.532032 UTC
Evaluación 69 -> 2025-06-12 11:31:30.261268 UTC
Evaluación 70 -> 2025-06-12 11:38:53.162711 UTC
Evaluación 71 -> 2025-06-12 11:46:07.129357 UTC
Evaluación 72 -> 2025-06-12 11:53:24.165428 UTC
Evaluación 73 -> 2025-06-12 12:00:40.436291 UTC
Evaluación 74 -> 2025-06-12 12:08:04.809983 UTC
Evaluación 75 -> 2025-06-12 12:15:28.456840 UTC
Evaluación 76 -> 2025-06-12 12:22:47.700298 UTC
Evaluación 77 -> 2025-06-12 12:30:11.472827 UTC
Evaluación 78 -> 2025-06-12 12:37:35.256917 UTC
Evaluación 79 -> 2025-06-12 12:44:48.920682 UTC
Evaluación 80 -> 2025-06-12 12:52:00.491188 UTC
Evaluación 81 -> 2025-06-12 12:59:13.658169 UTC
