,Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
0,-,1.0,0 days 00:03:26,0.8011,0.8261,0.8011,0.7929,1,1.0,0.3333,0.3333,0.3333
1,free busqueda local,0.06,0 days 00:30:31,0.8683,0.869,0.8683,0.866,100,0.0599,0.3974,0.2781,0.3245
2,aleatorio,0.1,0 days 00:41:16,0.8602,0.8659,0.8602,0.859,100,0.1,0.381,0.3254,0.2937
3,aleatorio,0.25,0 days 01:24:13,0.8253,0.8281,0.8253,0.8177,100,0.25,0.3095,0.3222,0.3683
4,aleatorio,0.5,0 days 02:36:04,0.8253,0.8403,0.8253,0.8205,100,0.5,0.3254,0.3429,0.3317
5,aleatorio,0.75,0 days 03:08:29,0.8253,0.844,0.8253,0.8202,100,0.75,0.3265,0.3386,0.3349
6,busqueda local,0.1,0 days 00:33:19,0.8414,0.8429,0.8414,0.8363,100,0.1,0.3452,0.3611,0.2937
7,busqueda local,0.25,0 days 01:08:18,0.8575,0.8741,0.8575,0.8479,100,0.25,0.3651,0.3238,0.3111
8,busqueda local,0.5,0 days 02:10:08,0.828,0.8418,0.828,0.82,100,0.5,0.3151,0.3397,0.3452
9,busqueda local,0.75,0 days 03:11:45,0.8414,0.8451,0.8414,0.836,100,0.75,0.3333,0.328,0.3386
10,genetico,0.1,0 days 00:33:04,0.8763,0.88,0.8763,0.8734,100,0.1,0.369,0.3492,0.2817
11,genetico,0.25,0 days 01:10:30,0.8575,0.8751,0.8575,0.8482,100,0.25,0.354,0.3317,0.3143
12,genetico,0.5,0 days 02:11:26,0.8306,0.8503,0.8306,0.823,100,0.5,0.3357,0.323,0.3413
13,genetico,0.75,0 days 03:11:03,0.8253,0.8323,0.8253,0.8215,100,0.75,0.3466,0.3339,0.3196
14,memetico,0.1,0 days 00:32:59,0.8817,0.8817,0.8817,0.8804,100,0.1,0.373,0.3571,0.2698
15,memetico,0.25,0 days 01:10:39,0.8414,0.8671,0.8414,0.8274,100,0.25,0.3333,0.354,0.3127
16,memetico,0.5,0 days 02:09:27,0.8441,0.8509,0.8441,0.8385,100,0.5,0.3524,0.3222,0.3254
17,memetico,0.75,0 days 03:11:37,0.8306,0.8467,0.8306,0.8257,100,0.75,0.3307,0.3275,0.3418
18,genetico2,0.1,0 days 00:32:59,0.8871,0.8885,0.8871,0.8847,100,0.1,0.3373,0.3571,0.3056
19,genetico2,0.25,0 days 01:08:45,0.879,0.8903,0.879,0.8736,100,0.25,0.3556,0.3333,0.3111
20,genetico2,0.5,0 days 02:11:00,0.836,0.8514,0.836,0.8308,100,0.5,0.3302,0.3294,0.3405
21,genetico2,0.75,0 days 03:12:28,0.8306,0.8446,0.8306,0.8235,100,0.75,0.3233,0.336,0.3407
22,genetico3,0.1,0 days 00:33:50,0.871,0.8707,0.871,0.8684,100,0.1,0.3651,0.3571,0.2778
23,genetico3,0.25,0 days 01:09:38,0.836,0.845,0.836,0.8293,100,0.25,0.346,0.346,0.3079
24,genetico3,0.5,0 days 02:09:30,0.8333,0.8477,0.8333,0.8267,100,0.5,0.3444,0.3397,0.3159
25,genetico3,0.75,0 days 03:03:17,0.8333,0.8373,0.8333,0.8285,100,0.75,0.336,0.3243,0.3397
0,-,1.0,0 days 00:03:07,0.7688,0.8043,0.7688,0.7564,1,1.0,0.3333,0.3333,0.3333
1,free busqueda local,0.06,0 days 00:26:49,0.8387,0.8412,0.8387,0.8327,100,0.0599,0.3311,0.3444,0.3245
2,aleatorio,0.1,0 days 00:36:07,0.8172,0.8217,0.8172,0.8163,100,0.1,0.3413,0.3452,0.3135
3,aleatorio,0.25,0 days 01:14:08,0.7984,0.8068,0.7984,0.7916,100,0.25,0.3413,0.3048,0.354
4,aleatorio,0.5,0 days 02:17:30,0.8091,0.82,0.8091,0.8009,100,0.5,0.3167,0.3405,0.3429
5,aleatorio,0.75,0 days 03:17:39,0.8199,0.841,0.8199,0.8152,100,0.75,0.3317,0.337,0.3312
6,busqueda local,0.1,0 days 00:36:09,0.828,0.8337,0.828,0.8186,100,0.1,0.381,0.2937,0.3254
7,busqueda local,0.25,0 days 01:12:34,0.7984,0.8163,0.7984,0.7891,100,0.25,0.3333,0.3175,0.3492
8,busqueda local,0.5,0 days 02:16:28,0.8011,0.8187,0.8011,0.7931,100,0.5,0.3365,0.3341,0.3294
9,busqueda local,0.75,0 days 03:18:53,0.8172,0.832,0.8172,0.8116,100,0.75,0.3333,0.3339,0.3328
10,genetico,0.1,0 days 00:36:22,0.8253,0.8313,0.8253,0.8265,100,0.1,0.3175,0.3254,0.3571
11,genetico,0.25,0 days 01:34:03,0.7984,0.818,0.7984,0.7914,100,0.25,0.3222,0.3397,0.3381
12,genetico,0.5,0 days 04:03:46,0.8118,0.8289,0.8118,0.8052,100,0.5,0.3246,0.3524,0.323
13,genetico,0.75,0 days 04:46:17,0.836,0.8481,0.836,0.8311,100,0.75,0.3317,0.3349,0.3333
14,memetico,0.1,0 days 00:52:46,0.8253,0.8347,0.8253,0.8222,100,0.1,0.4365,0.2778,0.2857
15,memetico,0.25,0 days 01:20:54,0.7796,0.7964,0.7796,0.7702,100,0.25,0.3238,0.3175,0.3587
16,memetico,0.5,0 days 02:28:35,0.8091,0.8313,0.8091,0.8057,100,0.5,0.3373,0.3286,0.3341
17,memetico,0.75,0 days 03:34:52,0.8226,0.8412,0.8226,0.8183,100,0.75,0.3376,0.3275,0.3349
18,genetico2,0.1,0 days 00:38:14,0.8414,0.8456,0.8414,0.8344,100,0.1,0.3452,0.2778,0.377
19,genetico2,0.25,0 days 01:18:28,0.7984,0.8188,0.7984,0.7887,100,0.25,0.3286,0.3587,0.3127
20,genetico2,0.5,0 days 02:33:19,0.8091,0.8404,0.8091,0.8044,100,0.5,0.3286,0.3468,0.3246
21,genetico2,0.75,0 days 04:23:11,0.8226,0.8321,0.8226,0.816,100,0.75,0.336,0.3254,0.3386
22,genetico3,0.1,0 days 00:37:46,0.8441,0.8451,0.8441,0.844,100,0.1,0.3611,0.3214,0.3175
23,genetico3,0.25,0 days 01:21:06,0.7984,0.8188,0.7984,0.7887,100,0.25,0.3286,0.3587,0.3127
24,genetico3,0.5,0 days 02:33:36,0.8011,0.826,0.8011,0.7926,100,0.5,0.327,0.3373,0.3357
25,genetico3,0.75,0 days 03:36:41,0.8199,0.841,0.8199,0.8152,100,0.75,0.3317,0.337,0.3312
0,-,1.0,0 days 00:03:19,0.7742,0.8201,0.7742,0.7626,1,1.0,0.3333,0.3333,0.3333
1,free busqueda local,0.06,0 days 00:28:54,0.8387,0.8382,0.8387,0.8368,100,0.0599,0.3709,0.2649,0.3642
2,aleatorio,0.1,0 days 00:39:05,0.7849,0.8111,0.7849,0.7685,100,0.1,0.3135,0.3333,0.3532
3,aleatorio,0.25,0 days 01:20:07,0.7957,0.8127,0.7957,0.7865,100,0.25,0.327,0.3413,0.3317
4,aleatorio,0.5,0 days 02:31:31,0.8038,0.8271,0.8038,0.7996,100,0.5,0.3381,0.3278,0.3341
5,aleatorio,0.75,0 days 02:51:48,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
6,busqueda local,0.1,0 days 00:30:53,0.7688,0.795,0.7688,0.7595,100,0.1,0.3135,0.3413,0.3452
7,busqueda local,0.25,0 days 01:02:58,0.8199,0.8274,0.8199,0.813,100,0.25,0.3413,0.3143,0.3444
8,busqueda local,0.5,0 days 01:58:47,0.7984,0.8171,0.7984,0.7929,100,0.5,0.3262,0.3317,0.3421
9,busqueda local,0.75,0 days 02:51:56,0.8172,0.844,0.8172,0.8084,100,0.75,0.3349,0.3328,0.3323
10,genetico,0.1,0 days 00:30:11,0.8011,0.8137,0.8011,0.7921,100,0.1,0.3492,0.3175,0.3333
11,genetico,0.25,0 days 01:03:03,0.7957,0.8233,0.7957,0.7845,100,0.25,0.3333,0.3127,0.354
12,genetico,0.5,0 days 01:58:28,0.7984,0.8158,0.7984,0.7924,100,0.5,0.3484,0.3238,0.3278
13,genetico,0.75,0 days 02:52:39,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
14,memetico,0.1,0 days 00:30:11,0.7903,0.8099,0.7903,0.7755,100,0.1,0.3492,0.2937,0.3571
15,memetico,0.25,0 days 01:02:39,0.8065,0.8193,0.8065,0.7971,100,0.25,0.3302,0.3222,0.3476
16,memetico,0.5,0 days 01:59:43,0.8118,0.8298,0.8118,0.8058,100,0.5,0.346,0.3222,0.3317
17,memetico,0.75,0 days 02:52:43,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
18,genetico2,0.1,0 days 00:30:11,0.8172,0.8317,0.8172,0.8069,100,0.1,0.4008,0.2897,0.3095
19,genetico2,0.25,0 days 01:02:45,0.8091,0.8269,0.8091,0.8013,100,0.25,0.3349,0.3476,0.3175
20,genetico2,0.5,0 days 01:59:55,0.8065,0.8233,0.8065,0.8008,100,0.5,0.3325,0.3421,0.3254
21,genetico2,0.75,0 days 02:53:24,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
22,genetico3,0.1,0 days 00:30:36,0.793,0.8128,0.793,0.7791,100,0.1,0.3056,0.377,0.3175
23,genetico3,0.25,0 days 01:02:25,0.8011,0.8132,0.8011,0.7938,100,0.25,0.3222,0.3286,0.3492
24,genetico3,0.5,0 days 01:58:48,0.8065,0.8306,0.8065,0.7993,100,0.5,0.3262,0.3365,0.3373
25,genetico3,0.75,0 days 02:52:41,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
0,-,1.0,0 days 00:03:19,0.8011,0.8155,0.8011,0.7943,1,1.0,0.3333,0.3333,0.3333
1,free busqueda local,0.06,0 days 00:28:50,0.8118,0.8242,0.8118,0.8141,100,0.0599,0.3841,0.3113,0.3046
2,aleatorio,0.1,0 days 00:38:54,0.7984,0.8004,0.7984,0.7884,100,0.1,0.3929,0.2817,0.3254
3,aleatorio,0.25,0 days 01:19:48,0.8091,0.8253,0.8091,0.8019,100,0.25,0.3333,0.3206,0.346
4,aleatorio,0.5,0 days 02:30:51,0.8011,0.8224,0.8011,0.7947,100,0.5,0.3246,0.3222,0.3532
5,aleatorio,0.75,0 days 02:51:51,0.8199,0.8397,0.8199,0.8118,100,0.75,0.3376,0.3307,0.3317
6,busqueda local,0.1,0 days 00:31:01,0.8091,0.8062,0.8091,0.8043,100,0.1,0.3413,0.3294,0.3294
7,busqueda local,0.25,0 days 01:03:05,0.8387,0.8535,0.8387,0.834,100,0.25,0.3317,0.3349,0.3333
8,busqueda local,0.5,0 days 01:58:32,0.8038,0.8244,0.8038,0.7982,100,0.5,0.327,0.346,0.327
9,busqueda local,0.75,0 days 02:51:27,0.8199,0.83,0.8199,0.813,100,0.75,0.3439,0.3354,0.3206
10,genetico,0.1,0 days 00:30:13,0.8253,0.8277,0.8253,0.8209,100,0.1,0.3492,0.3175,0.3333
11,genetico,0.25,0 days 01:03:01,0.828,0.8312,0.828,0.8219,100,0.25,0.3429,0.2984,0.3587
12,genetico,0.5,0 days 01:57:58,0.8011,0.8224,0.8011,0.7947,100,0.5,0.3246,0.3222,0.3532
13,genetico,0.75,0 days 02:52:27,0.8226,0.8401,0.8226,0.8133,100,0.75,0.3381,0.3328,0.3291
14,memetico,0.1,0 days 00:30:09,0.8118,0.8161,0.8118,0.8036,100,0.1,0.3492,0.2937,0.3571
15,memetico,0.25,0 days 01:02:41,0.8199,0.8341,0.8199,0.8109,100,0.25,0.3159,0.3317,0.3524
16,memetico,0.5,0 days 01:59:23,0.8065,0.8307,0.8065,0.8022,100,0.5,0.3262,0.3357,0.3381
17,memetico,0.75,0 days 02:52:27,0.828,0.8434,0.828,0.8182,100,0.75,0.3307,0.3423,0.327
18,genetico2,0.1,0 days 00:30:08,0.8253,0.8274,0.8253,0.8193,100,0.1,0.3532,0.2937,0.3532
19,genetico2,0.25,0 days 01:03:02,0.828,0.8357,0.828,0.8193,100,0.25,0.3159,0.327,0.3571
20,genetico2,0.5,0 days 01:59:52,0.8118,0.8335,0.8118,0.8074,100,0.5,0.3349,0.3452,0.3198
21,genetico2,0.75,0 days 02:53:43,0.8145,0.8356,0.8145,0.8038,100,0.75,0.3286,0.345,0.3265
22,genetico3,0.1,0 days 00:30:27,0.8065,0.8213,0.8065,0.7955,100,0.1,0.369,0.3016,0.3294
23,genetico3,0.25,0 days 01:02:20,0.8226,0.8337,0.8226,0.8178,100,0.25,0.3222,0.3333,0.3444
24,genetico3,0.5,0 days 01:58:32,0.8011,0.8224,0.8011,0.7947,100,0.5,0.3246,0.3222,0.3532
25,genetico3,0.75,0 days 02:52:39,0.8145,0.8364,0.8145,0.8012,100,0.75,0.3296,0.3397,0.3307
0,-,1.0,0 days 00:03:07,0.7849,0.8117,0.7849,0.7779,1,1.0,0.3333,0.3333,0.3333
1,free busqueda local,0.06,0 days 00:26:55,0.8091,0.8372,0.8091,0.7906,100,0.0599,0.3642,0.3245,0.3113
2,aleatorio,0.1,0 days 00:36:01,0.8065,0.8239,0.8065,0.7937,100,0.1,0.3929,0.3135,0.2937
3,aleatorio,0.25,0 days 01:13:36,0.8065,0.8219,0.8065,0.7975,100,0.25,0.3333,0.319,0.3476
4,aleatorio,0.5,0 days 02:17:24,0.8038,0.8229,0.8038,0.7953,100,0.5,0.3413,0.3365,0.3222
5,aleatorio,0.75,0 days 03:19:17,0.8172,0.8356,0.8172,0.8107,100,0.75,0.3333,0.3328,0.3339
6,busqueda local,0.1,0 days 00:36:38,0.8145,0.8129,0.8145,0.812,100,0.1,0.4206,0.2937,0.2857
7,busqueda local,0.25,0 days 01:12:48,0.8091,0.8263,0.8091,0.8042,100,0.25,0.3429,0.3175,0.3397
8,busqueda local,0.5,0 days 02:17:25,0.8065,0.8366,0.8065,0.8005,100,0.5,0.3302,0.3429,0.327
9,busqueda local,0.75,0 days 03:19:55,0.8226,0.8474,0.8226,0.8146,100,0.75,0.3333,0.3286,0.3381
10,genetico,0.1,0 days 00:36:55,0.8199,0.8265,0.8199,0.8116,100,0.1,0.3929,0.254,0.3532
11,genetico,0.25,0 days 01:42:36,0.7984,0.8228,0.7984,0.7923,100,0.25,0.3317,0.3254,0.3429
12,genetico,0.5,0 days 03:53:27,0.8172,0.8329,0.8172,0.8123,100,0.5,0.3262,0.3294,0.3444
13,genetico,0.75,0 days 04:44:00,0.8253,0.8431,0.8253,0.8206,100,0.75,0.3339,0.3328,0.3333
14,memetico,0.1,0 days 00:52:48,0.8226,0.8389,0.8226,0.8111,100,0.1,0.3373,0.2857,0.377
15,memetico,0.25,0 days 01:21:02,0.8253,0.8332,0.8253,0.8191,100,0.25,0.3444,0.3016,0.354
16,memetico,0.5,0 days 02:29:27,0.8038,0.8242,0.8038,0.7977,100,0.5,0.3341,0.3278,0.3381
17,memetico,0.75,0 days 03:35:40,0.8199,0.8474,0.8199,0.81,100,0.75,0.3354,0.3344,0.3302
18,genetico2,0.1,0 days 00:38:41,0.8091,0.8258,0.8091,0.7955,100,0.1,0.3492,0.2698,0.381
19,genetico2,0.25,0 days 01:18:47,0.8038,0.8215,0.8038,0.7958,100,0.25,0.3254,0.346,0.3286
20,genetico2,0.5,0 days 02:34:29,0.8172,0.8402,0.8172,0.8098,100,0.5,0.3063,0.3429,0.3508
21,genetico2,0.75,0 days 04:22:46,0.8172,0.8356,0.8172,0.8107,100,0.75,0.3333,0.3328,0.3339
22,genetico3,0.1,0 days 00:38:14,0.8199,0.8445,0.8199,0.8061,100,0.1,0.2897,0.3056,0.4048
23,genetico3,0.25,0 days 01:21:49,0.8145,0.8328,0.8145,0.8092,100,0.25,0.3238,0.3222,0.354
24,genetico3,0.5,0 days 02:33:50,0.8118,0.8314,0.8118,0.8008,100,0.5,0.3222,0.3317,0.346
25,genetico3,0.75,0 days 03:40:20,0.8199,0.8309,0.8199,0.8132,100,0.75,0.3376,0.3328,0.3296
