Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
-,1.0,0:03:07,0.7688,0.8043,0.7688,0.7564,1,1.0,0.3333,0.3333,0.3333
busqueda local (libre),0.06,0:26:49,0.8387,0.8412,0.8387,0.8327,100,0.0599,0.3311,0.3444,0.3245
aleatorio,0.1,0:36:07,0.8172,0.8217,0.8172,0.8163,100,0.1,0.3413,0.3452,0.3135
aleatorio,0.25,1:14:08,0.7984,0.8068,0.7984,0.7916,100,0.25,0.3413,0.3048,0.354
aleatorio,0.5,2:17:30,0.8091,0.82,0.8091,0.8009,100,0.5,0.3167,0.3405,0.3429
aleatorio,0.75,3:17:39,0.8199,0.841,0.8199,0.8152,100,0.75,0.3317,0.337,0.3312
busqueda local,0.1,0:36:09,0.828,0.8337,0.828,0.8186,100,0.1,0.381,0.2937,0.3254
busqueda local,0.25,1:12:34,0.7984,0.8163,0.7984,0.7891,100,0.25,0.3333,0.3175,0.3492
busqueda local,0.5,2:16:28,0.8011,0.8187,0.8011,0.7931,100,0.5,0.3365,0.3341,0.3294
busqueda local,0.75,3:18:53,0.8172,0.832,0.8172,0.8116,100,0.75,0.3333,0.3339,0.3328
genetico,0.1,0:36:22,0.8253,0.8313,0.8253,0.8265,100,0.1,0.3175,0.3254,0.3571
genetico,0.25,1:34:03,0.7984,0.818,0.7984,0.7914,100,0.25,0.3222,0.3397,0.3381
genetico,0.5,4:03:46,0.8118,0.8289,0.8118,0.8052,100,0.5,0.3246,0.3524,0.323
genetico,0.75,4:46:17,0.836,0.8481,0.836,0.8311,100,0.75,0.3317,0.3349,0.3333
memetico,0.1,0:52:46,0.8253,0.8347,0.8253,0.8222,100,0.1,0.4365,0.2778,0.2857
memetico,0.25,1:20:54,0.7796,0.7964,0.7796,0.7702,100,0.25,0.3238,0.3175,0.3587
memetico,0.5,2:28:35,0.8091,0.8313,0.8091,0.8057,100,0.5,0.3373,0.3286,0.3341
memetico,0.75,3:34:52,0.8226,0.8412,0.8226,0.8183,100,0.75,0.3376,0.3275,0.3349
genetico2,0.1,0:38:14,0.8414,0.8456,0.8414,0.8344,100,0.1,0.3452,0.2778,0.377
genetico2,0.25,1:18:28,0.7984,0.8188,0.7984,0.7887,100,0.25,0.3286,0.3587,0.3127
genetico2,0.5,2:33:19,0.8091,0.8404,0.8091,0.8044,100,0.5,0.3286,0.3468,0.3246
genetico2,0.75,4:23:11,0.8226,0.8321,0.8226,0.816,100,0.75,0.336,0.3254,0.3386
genetico3,0.1,0:37:46,0.8441,0.8451,0.8441,0.844,100,0.1,0.3611,0.3214,0.3175
genetico3,0.25,1:21:06,0.7984,0.8188,0.7984,0.7887,100,0.25,0.3286,0.3587,0.3127
genetico3,0.5,2:33:36,0.8011,0.826,0.8011,0.7926,100,0.5,0.327,0.3373,0.3357
genetico3,0.75,3:36:41,0.8199,0.841,0.8199,0.8152,100,0.75,0.3317,0.337,0.3312
