Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
aleatorio,10,0:00:37.312384,0.6881720430107527,0.7370571263071733,0.6881720430107527,0.6708057472214385,1,0.1,0.31349206,0.4047619,0.28174603
aleatorio,20,0:00:28.803634,0.6801075268817204,0.7042760403032912,0.6801075268817204,0.663462786788297,1,0.2,0.32142857,0.3690476,0.30952382
busqueda local,10,0:00:16.338585,0.6989247311827957,0.735721768127585,0.6989247311827957,0.6578762716647365,1,0.1,0.31349206,0.4047619,0.28174603
busqueda local,20,0:00:27.372456,0.7419354838709677,0.7764814587353011,0.7419354838709677,0.7348420588225824,1,0.2,0.32142857,0.3690476,0.30952382
