Algoritmo,Porcentaje Inicial,Duracion,Accuracy (Avg),Precision (Avg),Recall (Avg),F1-score (Avg),Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
aleatorio,10,0:01:06.616934,,,,,2,10.0,33.333332,35.31746,31.349207
aleatorio,20,0:01:24.459330,,,,,2,20.0,32.142857,36.904762,30.952381
aleatorio,50,0:02:55.402172,,,,,2,50.0,33.412697,33.49206,33.095238
aleatorio,100,0:02:43.100484,,,,,1,100.0,33.333332,33.333332,33.333332
aleatorio,10,0:00:35.711397,,,,,2,10.0,31.349207,40.47619,28.174603
aleatorio,20,0:01:01.103585,,,,,2,20.0,33.134922,32.539684,34.325397
aleatorio,50,0:02:18.384808,,,,,2,50.0,33.57143,31.984127,34.444443
aleatorio,100,0:02:12.515905,,,,,1,100.0,33.333332,33.333332,33.333332
