Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
aleatorio,70,2:14:43.237001,0.8252688172043011,0.8418682066417378,0.8252688172043011,0.8209977235489437,100,70.0,32.482994,33.78685,33.73016
busqueda local,70,2:14:06.787722,0.8198924731182796,0.8365510638851038,0.8198924731182796,0.8163103795658189,100,70.0,33.73016,33.106575,33.163265
genetico,70,2:14:05.777748,0.8279569892473119,0.8472830021502588,0.8279569892473119,0.8242884199461519,100,70.0,33.390022,33.333332,33.276646
genetico2,70,2:14:19.680346,0.8198924731182796,0.8376496797549429,0.8198924731182796,0.8152393718977797,100,70.0,33.843536,33.67347,32.482994
