Algoritmo,Porcentaje Inicial,Duracion,Accuracy (Avg),Precision (Avg),Recall (Avg),F1-score (Avg),Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
aleatorio,10,0:45:07.923456,0.7654569892473119,0.8180406669763688,0.7654569892473119,0.762506248606267,100,10.0,34.920635,35.714287,29.36508
aleatorio,20,1:10:26.506171,0.8176612903225808,0.8470259266007326,0.8176612903225808,0.8159141792141557,100,20.0,34.72222,34.72222,30.555555
aleatorio,50,2:24:49.204214,0.8714247311827955,0.8809499517019944,0.8714247311827955,0.869664794652328,100,50.0,31.74603,35.31746,32.93651
aleatorio,100,0:02:41.955143,0.8790322580645161,0.8895911553828472,0.8790322580645161,0.8780705009276438,1,100.0,33.333332,33.333332,33.333332
aleatorio,10,0:29:28.734441,0.7230913978494623,0.7640404850778184,0.7230913978494623,0.6962422605103591,100,10.0,36.50794,29.761906,33.73016
aleatorio,20,0:50:35.579836,0.7648387096774192,0.7882100733631021,0.7648387096774192,0.7558080476015024,100,20.0,30.15873,34.920635,34.920635
aleatorio,50,1:54:08.822991,0.7555913978494623,0.7971912174889796,0.7555913978494623,0.7467460813192788,100,50.0,32.857143,32.857143,34.285713
aleatorio,100,0:02:12.472864,0.760752688172043,0.7996790938322005,0.760752688172043,0.7561336330656588,1,100.0,33.333332,33.333332,33.333332
