Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
aleatorio,100,0:02:26.848866,0.760752688172043,0.7996790938322005,0.760752688172043,0.7561336330656588,1,100.0,33.333332,33.333332,33.333332
aleatorio,10,0:06:48.356941,0.7956989247311828,0.8186763966966109,0.7956989247311828,0.7865300245847087,23,10.0,35.714287,31.74603,32.539684
aleatorio,20,0:10:08.052645,0.803763440860215,0.820968179107714,0.803763440860215,0.7937467735038887,20,20.0,33.531746,29.166666,37.301586
aleatorio,50,0:22:54.744119,0.8010752688172043,0.8310694534223945,0.8010752688172043,0.7944931451731406,20,50.0,32.857143,32.857143,34.285713
busqueda local,10,0:08:18.721099,0.7526881720430108,0.7835189561322636,0.7526881720430108,0.7386484404059728,28,10.0,33.333332,39.285713,27.380953
busqueda local,20,0:12:41.619149,0.7768817204301075,0.7976916551465365,0.7768817204301075,0.7712769969951913,25,20.0,32.93651,36.11111,30.952381
busqueda local,50,0:36:35.571515,0.7876344086021505,0.8176256201832502,0.7876344086021505,0.7830944582340009,32,50.0,33.650795,33.253967,33.095238
genetico,10,0:29:44.964495,0.8279569892473119,0.8472315540624611,0.8279569892473119,0.8180573025856044,100,10.0,34.126984,30.15873,35.714287
genetico,20,0:50:47.025119,0.8279569892473119,0.8333856159943117,0.8279569892473119,0.8216090238919975,100,20.0,34.920635,30.555555,34.52381
genetico,50,1:54:29.211815,0.8064516129032258,0.8331189083820663,0.8064516129032258,0.7980171533591994,100,50.0,33.73016,32.539684,33.73016
