

---------------------------------------RPS  mobilenet  GENETICO  10%----------------------------------------------

Start time: 2025-05-03 16:50:15.166588 UTC
Evaluación 1 -> 2025-05-03 16:51:02.855899 UTC
Evaluación 2 -> 2025-05-03 16:51:30.383575 UTC
Evaluación 3 -> 2025-05-03 16:51:58.386854 UTC
Evaluación 4 -> 2025-05-03 16:52:27.132122 UTC
Evaluación 5 -> 2025-05-03 16:52:55.372792 UTC
Evaluación 6 -> 2025-05-03 16:53:23.094576 UTC
Evaluación 7 -> 2025-05-03 16:53:55.894079 UTC
Evaluación 8 -> 2025-05-03 16:54:18.924725 UTC
Evaluación 9 -> 2025-05-03 16:54:39.869246 UTC
Evaluación 10 -> 2025-05-03 16:55:00.802526 UTC
Evaluación 11 -> 2025-05-03 16:55:22.118329 UTC
Evaluación 12 -> 2025-05-03 16:55:43.035937 UTC
Evaluación 13 -> 2025-05-03 16:56:03.871123 UTC
Evaluación 14 -> 2025-05-03 16:56:24.972643 UTC
Evaluación 15 -> 2025-05-03 16:56:45.854705 UTC
Evaluación 16 -> 2025-05-03 16:57:07.225055 UTC
Evaluación 17 -> 2025-05-03 16:57:30.786600 UTC
Evaluación 18 -> 2025-05-03 16:57:51.822494 UTC
Evaluación 19 -> 2025-05-03 16:58:13.336834 UTC
Evaluación 20 -> 2025-05-03 16:58:34.202933 UTC
Evaluación 21 -> 2025-05-03 16:58:55.727117 UTC
Evaluación 22 -> 2025-05-03 16:59:16.899058 UTC
Evaluación 23 -> 2025-05-03 16:59:37.599238 UTC
Evaluación 24 -> 2025-05-03 16:59:58.543655 UTC
Evaluación 25 -> 2025-05-03 17:00:19.652397 UTC
Evaluación 26 -> 2025-05-03 17:00:44.836019 UTC
Evaluación 27 -> 2025-05-03 17:01:11.233375 UTC
Evaluación 28 -> 2025-05-03 17:01:32.149277 UTC
Evaluación 29 -> 2025-05-03 17:01:58.957800 UTC
Evaluación 30 -> 2025-05-03 17:02:23.884213 UTC
Evaluación 31 -> 2025-05-03 17:02:44.816858 UTC
Evaluación 32 -> 2025-05-03 17:03:05.951330 UTC
Evaluación 33 -> 2025-05-03 17:03:27.262462 UTC
Evaluación 34 -> 2025-05-03 17:03:48.280240 UTC
Evaluación 35 -> 2025-05-03 17:04:09.111691 UTC
Evaluación 36 -> 2025-05-03 17:04:39.193747 UTC
Evaluación 37 -> 2025-05-03 17:05:01.095997 UTC
Evaluación 38 -> 2025-05-03 17:05:23.161356 UTC
Evaluación 39 -> 2025-05-03 17:05:46.148068 UTC
Evaluación 40 -> 2025-05-03 17:06:07.002042 UTC
Evaluación 41 -> 2025-05-03 17:06:27.794283 UTC
Evaluación 42 -> 2025-05-03 17:06:48.760702 UTC
Evaluación 43 -> 2025-05-03 17:07:09.662410 UTC
Evaluación 44 -> 2025-05-03 17:07:30.516778 UTC
Evaluación 45 -> 2025-05-03 17:07:51.689055 UTC
Evaluación 46 -> 2025-05-03 17:08:22.199217 UTC
Evaluación 47 -> 2025-05-03 17:08:43.025516 UTC
Evaluación 48 -> 2025-05-03 17:09:03.896029 UTC
Evaluación 49 -> 2025-05-03 17:09:24.677698 UTC
Evaluación 50 -> 2025-05-03 17:09:45.663968 UTC
Evaluación 51 -> 2025-05-03 17:10:11.610888 UTC
Evaluación 52 -> 2025-05-03 17:10:37.449423 UTC
Evaluación 53 -> 2025-05-03 17:10:58.605576 UTC
Evaluación 54 -> 2025-05-03 17:11:19.724307 UTC
Evaluación 55 -> 2025-05-03 17:11:44.685450 UTC
Evaluación 56 -> 2025-05-03 17:12:11.050064 UTC
Evaluación 57 -> 2025-05-03 17:12:31.816244 UTC
Evaluación 58 -> 2025-05-03 17:12:52.762116 UTC
Evaluación 59 -> 2025-05-03 17:13:13.571404 UTC
Evaluación 60 -> 2025-05-03 17:13:36.220891 UTC
Evaluación 61 -> 2025-05-03 17:13:58.791171 UTC
Evaluación 62 -> 2025-05-03 17:14:19.419434 UTC
Evaluación 63 -> 2025-05-03 17:14:40.315113 UTC
Evaluación 64 -> 2025-05-03 17:15:01.229379 UTC
Evaluación 65 -> 2025-05-03 17:15:27.891549 UTC
Evaluación 66 -> 2025-05-03 17:15:52.734327 UTC
Evaluación 67 -> 2025-05-03 17:16:13.702383 UTC
Evaluación 68 -> 2025-05-03 17:16:34.566806 UTC
Evaluación 69 -> 2025-05-03 17:16:55.425685 UTC
Evaluación 70 -> 2025-05-03 17:17:16.309529 UTC
Evaluación 71 -> 2025-05-03 17:17:37.168783 UTC
Evaluación 72 -> 2025-05-03 17:17:58.258327 UTC
Evaluación 73 -> 2025-05-03 17:18:22.526345 UTC
Evaluación 74 -> 2025-05-03 17:18:49.438069 UTC
Evaluación 75 -> 2025-05-03 17:19:19.180619 UTC
Evaluación 76 -> 2025-05-03 17:19:40.149938 UTC
Evaluación 77 -> 2025-05-03 17:20:01.262707 UTC
Evaluación 78 -> 2025-05-03 17:20:22.059514 UTC
Evaluación 79 -> 2025-05-03 17:20:42.969094 UTC
Evaluación 80 -> 2025-05-03 17:21:04.272303 UTC
Evaluación 81 -> 2025-05-03 17:21:25.074283 UTC
Evaluación 82 -> 2025-05-03 17:21:47.524759 UTC
Evaluación 83 -> 2025-05-03 17:22:10.123529 UTC
Evaluación 84 -> 2025-05-03 17:22:31.096383 UTC
Evaluación 85 -> 2025-05-03 17:22:52.110052 UTC
Evaluación 86 -> 2025-05-03 17:23:13.109448 UTC
Evaluación 87 -> 2025-05-03 17:23:33.987988 UTC
Evaluación 88 -> 2025-05-03 17:23:54.784204 UTC
Evaluación 89 -> 2025-05-03 17:24:15.653368 UTC
Evaluación 90 -> 2025-05-03 17:24:36.627919 UTC
Evaluación 91 -> 2025-05-03 17:24:57.628990 UTC
Evaluación 92 -> 2025-05-03 17:25:18.812970 UTC
Evaluación 93 -> 2025-05-03 17:25:39.876853 UTC
Evaluación 94 -> 2025-05-03 17:26:00.920939 UTC
Evaluación 95 -> 2025-05-03 17:26:22.087923 UTC
Evaluación 96 -> 2025-05-03 17:26:52.148858 UTC
Evaluación 97 -> 2025-05-03 17:27:14.167723 UTC
Evaluación 98 -> 2025-05-03 17:27:37.547931 UTC
Evaluación 99 -> 2025-05-03 17:28:01.583927 UTC
Evaluación 100 -> 2025-05-03 17:28:25.153951 UTC


---------------------------------------RPS  mobilenet  GENETICO  25%----------------------------------------------

Start time: 2025-05-03 17:28:48.830533 UTC
Evaluación 1 -> 2025-05-03 17:29:37.784001 UTC
Evaluación 2 -> 2025-05-03 17:30:36.338317 UTC
Evaluación 3 -> 2025-05-03 17:31:28.664758 UTC
Evaluación 4 -> 2025-05-03 17:32:15.532574 UTC
Evaluación 5 -> 2025-05-03 17:32:57.461664 UTC
Evaluación 6 -> 2025-05-03 17:33:39.109872 UTC
Evaluación 7 -> 2025-05-03 17:34:21.564607 UTC
Evaluación 8 -> 2025-05-03 17:35:13.130799 UTC
Evaluación 9 -> 2025-05-03 17:35:55.083480 UTC
Evaluación 10 -> 2025-05-03 17:36:36.870756 UTC
Evaluación 11 -> 2025-05-03 17:37:18.982132 UTC
Evaluación 12 -> 2025-05-03 17:38:01.123696 UTC
Evaluación 13 -> 2025-05-03 17:38:43.418803 UTC
Evaluación 14 -> 2025-05-03 17:39:38.412611 UTC
Evaluación 15 -> 2025-05-03 17:40:20.394203 UTC
Evaluación 16 -> 2025-05-03 17:41:02.416252 UTC
Evaluación 17 -> 2025-05-03 17:41:44.408829 UTC
Evaluación 18 -> 2025-05-03 17:42:26.315339 UTC
