,Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Airplane,Porcentaje Automobile,Porcentaje Bird,Porcentaje Cat,Porcentaje Deer,Porcentaje Dog,Porcentaje Frog,Porcentaje Horse,Porcentaje Ship,Porcentaje Truck
3,MA-F,0.75,0 days 19:55:37,0.779,0.7793,0.779,0.7785,100,0.75,0.1001,0.1007,0.0998,0.1001,0.1003,0.1001,0.1002,0.0999,0.0997,0.0993
0,MA-F,0.1,0 days 03:18:31,0.7445,0.7483,0.7445,0.7449,100,0.1,0.102,0.0938,0.1002,0.0986,0.0972,0.0978,0.0956,0.1112,0.1074,0.0962
1,MA-F,0.25,0 days 07:17:10,0.7627,0.7646,0.7627,0.7629,100,0.25,0.101,0.1031,0.099,0.1032,0.101,0.0995,0.099,0.101,0.094,0.0991
2,MA-F,0.5,0 days 13:56:51,0.7763,0.7769,0.7763,0.7755,100,0.5,0.1027,0.0994,0.1021,0.0997,0.0999,0.0999,0.0982,0.1006,0.0971,0.1005
3,MA-F,0.75,0 days 20:32:08,0.7794,0.7799,0.7794,0.7789,100,0.75,0.0987,0.1006,0.0999,0.1003,0.1002,0.1007,0.0997,0.1002,0.0995,0.1002
0,MA-F,0.1,0 days 04:44:06,0.742,0.7415,0.742,0.7404,100,0.1,0.0982,0.1002,0.0962,0.1098,0.1004,0.1,0.098,0.089,0.105,0.1032
1,MA-F,0.25,0 days 10:33:40,0.7629,0.7655,0.7629,0.7638,100,0.25,0.1024,0.0998,0.1014,0.0951,0.0978,0.1005,0.0984,0.1015,0.1033,0.0998
2,MA-F,0.5,0 days 19:52:46,0.7759,0.7774,0.7759,0.7761,100,0.5,0.0992,0.1009,0.0995,0.0973,0.099,0.0998,0.1035,0.0993,0.1008,0.1007
3,MA-F,0.75,1 days 05:19:24,0.7803,0.7813,0.7803,0.7802,100,0.75,0.0993,0.0999,0.1003,0.101,0.1002,0.0999,0.101,0.0993,0.0994,0.0998
0,MA-F,0.1,0 days 04:38:50,0.744,0.7487,0.744,0.7447,100,0.1,0.0976,0.1002,0.1004,0.1016,0.0998,0.098,0.0914,0.1,0.1072,0.1038
1,MA-F,0.25,0 days 10:24:49,0.7644,0.7641,0.7644,0.7636,100,0.25,0.1,0.0931,0.1022,0.0966,0.1047,0.0967,0.1,0.1042,0.103,0.0994
2,MA-F,0.5,0 days 19:43:06,0.7747,0.7754,0.7747,0.7744,100,0.5,0.0996,0.1001,0.0972,0.0978,0.0999,0.0992,0.1011,0.1015,0.1036,0.1
3,MA-F,0.75,1 days 05:03:55,0.7786,0.7786,0.7786,0.7779,100,0.75,0.1002,0.0998,0.0981,0.1015,0.1009,0.0989,0.0997,0.0999,0.1009,0.1001
