Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
GA,0.1,0:36:55,0.8199,0.8265,0.8199,0.8116,100,0.1,0.3929,0.254,0.3532
GA,0.25,1:42:36,0.7984,0.8228,0.7984,0.7923,100,0.25,0.3317,0.3254,0.3429
GA,0.5,3:53:27,0.8172,0.8329,0.8172,0.8123,100,0.5,0.3262,0.3294,0.3444
GA,0.75,4:44:00,0.8253,0.8431,0.8253,0.8206,100,0.75,0.3339,0.3328,0.3333
