,Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
0,LS-F,0.1,0 days 00:33:28,0.8844,0.8948,0.8844,0.8789,100,0.0623,0.3503,0.3567,0.293
1,LS-F,0.25,0 days 01:57:20,0.836,0.8396,0.836,0.8319,100,0.3778,0.3309,0.3382,0.3309
2,LS-F,0.5,0 days 03:06:04,0.8387,0.8453,0.8387,0.8331,100,0.6492,0.3301,0.3484,0.3215
3,LS-F,0.75,0 days 02:36:50,0.836,0.8443,0.836,0.8277,100,0.6345,0.3333,0.3308,0.3358
0,LS-F,0.1,0 days 00:45:34,0.8038,0.8008,0.8038,0.797,100,0.071,0.4078,0.2402,0.352
1,LS-F,0.25,0 days 03:54:51,0.8253,0.8372,0.8253,0.8177,100,0.5746,0.3287,0.3425,0.3287
2,LS-F,0.5,0 days 02:44:04,0.8172,0.8275,0.8172,0.8091,100,0.4032,0.3278,0.3278,0.3445
3,LS-F,0.75,0 days 01:00:37,0.8091,0.8273,0.8091,0.7982,100,0.1405,0.3192,0.3616,0.3192
0,LS-F,0.1,0 days 00:34:41,0.8199,0.8322,0.8199,0.8125,100,0.0655,0.4303,0.2545,0.3152
1,LS-F,0.25,0 days 04:32:32,0.8226,0.8422,0.8226,0.8176,100,0.8833,0.3347,0.3329,0.3324
2,LS-F,0.5,0 days 03:18:16,0.8306,0.8493,0.8306,0.8242,100,0.7385,0.3267,0.3299,0.3434
3,LS-F,0.75,0 days 01:36:58,0.8091,0.8312,0.8091,0.7976,100,0.3317,0.3337,0.3457,0.3206
0,LS-F,0.1,0 days 00:52:29,0.8091,0.8068,0.8091,0.8061,100,0.0877,0.3891,0.3122,0.2986
1,LS-F,0.25,0 days 04:02:37,0.8145,0.8237,0.8145,0.8076,100,0.5845,0.3252,0.3374,0.3374
2,LS-F,0.5,0 days 03:13:08,0.8145,0.826,0.8145,0.8061,100,0.477,0.3228,0.3536,0.3236
3,LS-F,0.75,0 days 04:12:56,0.8172,0.833,0.8172,0.8129,100,0.6226,0.3295,0.3429,0.3276
0,LS-F,0.1,0 days 00:26:13,0.8441,0.8504,0.8441,0.8411,100,0.0821,0.3816,0.2947,0.3237
1,LS-F,0.25,0 days 02:59:51,0.8387,0.8465,0.8387,0.8348,100,0.6905,0.3408,0.327,0.3322
2,LS-F,0.5,0 days 03:49:48,0.8199,0.8371,0.8199,0.8156,100,0.8571,0.3361,0.3301,0.3338
3,LS-F,0.75,0 days 01:57:31,0.8253,0.8386,0.8253,0.8177,100,0.419,0.3456,0.3258,0.3286
