

---------------------------------------RPS  mobilenet  FREE BUSQUEDA LOCAL  6%----------------------------------------------

Start time: 2025-04-11 08:05:04.046013 UTC
Evaluación 1 -> 2025-04-11 08:05:59.666490 UTC
Evaluación 2 -> 2025-04-11 08:06:15.060958 UTC
Evaluación 3 -> 2025-04-11 08:06:29.619210 UTC
Evaluación 4 -> 2025-04-11 08:06:42.599497 UTC
Evaluación 5 -> 2025-04-11 08:06:54.418913 UTC
Evaluación 6 -> 2025-04-11 08:07:06.429186 UTC
Evaluación 7 -> 2025-04-11 08:07:18.951719 UTC
Evaluación 8 -> 2025-04-11 08:07:30.476925 UTC
Evaluación 9 -> 2025-04-11 08:07:43.052348 UTC
Evaluación 10 -> 2025-04-11 08:07:54.598237 UTC
Evaluación 11 -> 2025-04-11 08:08:07.402190 UTC
Evaluación 12 -> 2025-04-11 08:08:19.079120 UTC
Evaluación 13 -> 2025-04-11 08:08:31.281676 UTC
Evaluación 14 -> 2025-04-11 08:08:43.499359 UTC
Evaluación 15 -> 2025-04-11 08:08:55.026838 UTC
Evaluación 16 -> 2025-04-11 08:09:06.728724 UTC
Evaluación 17 -> 2025-04-11 08:09:18.478361 UTC
Evaluación 18 -> 2025-04-11 08:09:29.974987 UTC
Evaluación 19 -> 2025-04-11 08:09:41.483556 UTC
Evaluación 20 -> 2025-04-11 08:09:53.494670 UTC
Evaluación 21 -> 2025-04-11 08:10:05.592975 UTC
Evaluación 22 -> 2025-04-11 08:10:17.060009 UTC
Evaluación 23 -> 2025-04-11 08:10:28.255778 UTC
Evaluación 24 -> 2025-04-11 08:10:39.549928 UTC
Evaluación 25 -> 2025-04-11 08:10:51.737514 UTC
Evaluación 26 -> 2025-04-11 08:11:03.316261 UTC
Evaluación 27 -> 2025-04-11 08:11:15.679164 UTC
Evaluación 28 -> 2025-04-11 08:11:27.575543 UTC
Evaluación 29 -> 2025-04-11 08:11:39.204079 UTC
Evaluación 30 -> 2025-04-11 08:11:51.027153 UTC
Evaluación 31 -> 2025-04-11 08:12:02.454672 UTC
Evaluación 32 -> 2025-04-11 08:12:15.655030 UTC
Evaluación 33 -> 2025-04-11 08:12:27.293937 UTC
Evaluación 34 -> 2025-04-11 08:12:38.658194 UTC
Evaluación 35 -> 2025-04-11 08:12:50.063345 UTC
Evaluación 36 -> 2025-04-11 08:13:02.322515 UTC
Evaluación 37 -> 2025-04-11 08:13:15.096488 UTC
Evaluación 38 -> 2025-04-11 08:13:28.113708 UTC
Evaluación 39 -> 2025-04-11 08:13:40.355010 UTC
Evaluación 40 -> 2025-04-11 08:13:52.573868 UTC
Evaluación 41 -> 2025-04-11 08:14:04.144371 UTC
Evaluación 42 -> 2025-04-11 08:14:16.420456 UTC
Evaluación 43 -> 2025-04-11 08:14:27.906177 UTC
Evaluación 44 -> 2025-04-11 08:14:39.473607 UTC
Evaluación 45 -> 2025-04-11 08:14:51.301733 UTC
Evaluación 46 -> 2025-04-11 08:15:02.777895 UTC
Evaluación 47 -> 2025-04-11 08:15:14.711718 UTC
Evaluación 48 -> 2025-04-11 08:15:26.952441 UTC
Evaluación 49 -> 2025-04-11 08:15:38.662685 UTC
Evaluación 50 -> 2025-04-11 08:15:50.590122 UTC
Evaluación 51 -> 2025-04-11 08:16:01.950725 UTC
Evaluación 52 -> 2025-04-11 08:16:14.263237 UTC
Evaluación 53 -> 2025-04-11 08:16:26.105935 UTC
Evaluación 54 -> 2025-04-11 08:16:37.532452 UTC
Evaluación 55 -> 2025-04-11 08:16:48.973565 UTC
Evaluación 56 -> 2025-04-11 08:17:00.691655 UTC
Evaluación 57 -> 2025-04-11 08:17:12.056164 UTC
Evaluación 58 -> 2025-04-11 08:17:23.882890 UTC
Evaluación 59 -> 2025-04-11 08:17:35.959823 UTC
Evaluación 60 -> 2025-04-11 08:17:47.596231 UTC
Evaluación 61 -> 2025-04-11 08:17:59.670368 UTC
Evaluación 62 -> 2025-04-11 08:18:11.882155 UTC
Evaluación 63 -> 2025-04-11 08:18:24.262847 UTC
Evaluación 64 -> 2025-04-11 08:18:36.399993 UTC
Evaluación 65 -> 2025-04-11 08:18:47.864677 UTC
Evaluación 66 -> 2025-04-11 08:18:59.624005 UTC
Evaluación 67 -> 2025-04-11 08:19:11.439704 UTC
Evaluación 68 -> 2025-04-11 08:19:23.098787 UTC
Evaluación 69 -> 2025-04-11 08:19:35.094268 UTC
Evaluación 70 -> 2025-04-11 08:19:46.745256 UTC
Evaluación 71 -> 2025-04-11 08:19:58.170962 UTC
Evaluación 72 -> 2025-04-11 08:20:09.766136 UTC
Evaluación 73 -> 2025-04-11 08:20:21.477187 UTC
Evaluación 74 -> 2025-04-11 08:20:33.492708 UTC
Evaluación 75 -> 2025-04-11 08:20:45.025373 UTC
Evaluación 76 -> 2025-04-11 08:20:56.633158 UTC
Evaluación 77 -> 2025-04-11 08:21:08.024132 UTC
Evaluación 78 -> 2025-04-11 08:21:19.695557 UTC
Evaluación 79 -> 2025-04-11 08:21:31.695816 UTC
Evaluación 80 -> 2025-04-11 08:21:43.326621 UTC
Evaluación 81 -> 2025-04-11 08:21:55.088406 UTC
Evaluación 82 -> 2025-04-11 08:22:07.049657 UTC
Evaluación 83 -> 2025-04-11 08:22:19.909214 UTC
Evaluación 84 -> 2025-04-11 08:22:32.909394 UTC
Evaluación 85 -> 2025-04-11 08:22:46.174784 UTC
Evaluación 86 -> 2025-04-11 08:22:57.496325 UTC
Evaluación 87 -> 2025-04-11 08:23:09.484386 UTC
Evaluación 88 -> 2025-04-11 08:23:21.434591 UTC
Evaluación 89 -> 2025-04-11 08:23:33.003274 UTC
Evaluación 90 -> 2025-04-11 08:23:44.402974 UTC
Evaluación 91 -> 2025-04-11 08:23:55.551152 UTC
Evaluación 92 -> 2025-04-11 08:24:07.015966 UTC
Evaluación 93 -> 2025-04-11 08:24:19.133319 UTC
Evaluación 94 -> 2025-04-11 08:24:31.325384 UTC
Evaluación 95 -> 2025-04-11 08:24:42.785451 UTC
Evaluación 96 -> 2025-04-11 08:24:55.343503 UTC
Evaluación 97 -> 2025-04-11 08:25:08.155381 UTC
Evaluación 98 -> 2025-04-11 08:25:21.400720 UTC
Evaluación 99 -> 2025-04-11 08:25:33.181831 UTC
Evaluación 100 -> 2025-04-11 08:25:47.482195 UTC


---------------------------------------RPS  mobilenet  GENETICO3  10%----------------------------------------------

Start time: 2025-04-11 08:26:01.754221 UTC
Evaluación 1 -> 2025-04-11 08:26:19.676694 UTC
Evaluación 2 -> 2025-04-11 08:26:54.772835 UTC
Evaluación 3 -> 2025-04-11 08:27:13.367071 UTC
Evaluación 4 -> 2025-04-11 08:27:31.175811 UTC
Evaluación 5 -> 2025-04-11 08:27:48.433977 UTC
Evaluación 6 -> 2025-04-11 08:28:05.424001 UTC
Evaluación 7 -> 2025-04-11 08:28:21.753458 UTC
Evaluación 8 -> 2025-04-11 08:28:40.723947 UTC
Evaluación 9 -> 2025-04-11 08:28:59.637123 UTC
Evaluación 10 -> 2025-04-11 08:29:16.232764 UTC
