Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
genetico3,0.1,0 days 00:09:39.800000,0.7929999999999999,0.8146800000000001,0.7929999999999999,0.78266,13.0,0.1,0.34922,0.32302,0.32778
genetico3,0.25,0 days 00:15:40.800000,0.78226,0.80564,0.78226,0.7738400000000001,13.0,0.25,0.33016,0.33048,0.33934
genetico3,0.5,0 days 00:29:44.200000,0.7989200000000001,0.8217399999999999,0.7989200000000001,0.79108,13.0,0.5,0.3346,0.3292,0.3362
genetico3,0.75,0 days 00:44:06.400000,0.8177199999999999,0.8370599999999999,0.8177199999999999,0.81118,13.0,0.75,0.3366,0.3329,0.33048
