Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Drawings,Porcentaje Engraving,Porcentaje Iconography,Porcentaje Painting,Porcentaje Sculpture
RS,0.25,3:08:31,0.9182,0.9152,0.9182,0.9155,100,0.25,0.1435,0.1016,0.2611,0.2585,0.2352
RS,0.5,6:03:29,0.9252,0.9239,0.9252,0.9241,100,0.5,0.1435,0.0972,0.2591,0.2736,0.2267
