Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Airplane,Porcentaje Automobile,Porcentaje Bird,Porcentaje Cat,Porcentaje Deer,Porcentaje Dog,Porcentaje Frog,Porcentaje Horse,Porcentaje Ship,Porcentaje Truck
100%,1.0,0:23:42,0.7743,0.7769,0.7743,0.7731,1,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MA,0.1,4:41:46,0.742,0.7415,0.742,0.7404,100,0.1,0.0982,0.1002,0.0962,0.1098,0.1004,0.1,0.098,0.089,0.105,0.1032
MA,0.25,10:27:12,0.7629,0.7655,0.7629,0.7638,100,0.25,0.1024,0.0998,0.1014,0.0951,0.0978,0.1005,0.0984,0.1015,0.1033,0.0998
MA,0.5,20:08:05,0.7759,0.7774,0.7759,0.7761,100,0.5,0.0992,0.1009,0.0995,0.0973,0.099,0.0998,0.1035,0.0993,0.1008,0.1007
MA,0.75,"1 day, 5:45:14",0.7803,0.7813,0.7803,0.7802,100,0.75,0.0993,0.0999,0.1003,0.101,0.1002,0.0999,0.101,0.0993,0.0994,0.0998
MA-F,0.1,4:44:06,0.742,0.7415,0.742,0.7404,100,0.1,0.0982,0.1002,0.0962,0.1098,0.1004,0.1,0.098,0.089,0.105,0.1032
MA-F,0.25,10:33:40,0.7629,0.7655,0.7629,0.7638,100,0.25,0.1024,0.0998,0.1014,0.0951,0.0978,0.1005,0.0984,0.1015,0.1033,0.0998
MA-F,0.5,19:52:46,0.7759,0.7774,0.7759,0.7761,100,0.5,0.0992,0.1009,0.0995,0.0973,0.099,0.0998,0.1035,0.0993,0.1008,0.1007
MA-F,0.75,"1 day, 5:19:24",0.7803,0.7813,0.7803,0.7802,100,0.75,0.0993,0.0999,0.1003,0.101,0.1002,0.0999,0.101,0.0993,0.0994,0.0998
GA-AM,0.1,4:37:46,0.7425,0.7452,0.7425,0.7424,100,0.1,0.0976,0.0984,0.1054,0.1018,0.0994,0.0992,0.1046,0.095,0.1026,0.096
GA-AM,0.25,10:20:30,0.7627,0.7641,0.7627,0.7631,100,0.25,0.0979,0.0975,0.1022,0.1016,0.1023,0.0964,0.0996,0.0998,0.1009,0.1018
GA-AM,0.5,19:46:47,0.7749,0.7739,0.7749,0.774,100,0.5,0.1,0.0986,0.1021,0.101,0.101,0.0988,0.1004,0.0977,0.1011,0.0994
GA-AM,0.75,"1 day, 5:36:23",0.7804,0.7804,0.7804,0.7799,100,0.75,0.0998,0.0996,0.0999,0.1002,0.1006,0.1005,0.1009,0.1002,0.099,0.0994
GA-AM-F,0.1,4:43:54,0.7425,0.7452,0.7425,0.7424,100,0.1,0.0976,0.0984,0.1054,0.1018,0.0994,0.0992,0.1046,0.095,0.1026,0.096
GA-AM-F,0.25,10:38:02,0.7627,0.7641,0.7627,0.7631,100,0.25,0.0979,0.0975,0.1022,0.1016,0.1023,0.0964,0.0996,0.0998,0.1009,0.1018
GA-AM-F,0.5,20:14:01,0.7749,0.7739,0.7749,0.774,100,0.5,0.1,0.0986,0.1021,0.101,0.101,0.0988,0.1004,0.0977,0.1011,0.0994
GA-AM-F,0.75,"1 day, 5:57:26",0.7804,0.7804,0.7804,0.7799,100,0.75,0.0998,0.0996,0.0999,0.1002,0.1006,0.1005,0.1009,0.1002,0.099,0.0994
