Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Airplane,Porcentaje Automobile,Porcentaje Bird,Porcentaje Cat,Porcentaje Deer,Porcentaje Dog,Porcentaje Frog,Porcentaje Horse,Porcentaje Ship,Porcentaje Truck
100%,1.0,0:16:12,0.7776,0.7789,0.7776,0.7776,1,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MEM,0.1,3:12:52,0.7414,0.7475,0.7414,0.7425,100,0.1,0.0988,0.1006,0.1028,0.1046,0.099,0.1024,0.0988,0.0998,0.0962,0.097
MEM,0.25,7:05:06,0.7632,0.7639,0.7632,0.7624,100,0.25,0.0993,0.0976,0.1003,0.0966,0.0986,0.1015,0.1005,0.1054,0.1,0.1002
MEM,0.5,13:29:52,0.7723,0.7728,0.7723,0.7712,100,0.5,0.0981,0.0974,0.0996,0.1003,0.0996,0.0992,0.1024,0.1011,0.1011,0.1011
MEM,0.75,19:57:37,0.779,0.7793,0.779,0.7785,100,0.75,0.1001,0.1007,0.0998,0.1001,0.1003,0.1001,0.1002,0.0999,0.0997,0.0993
MEM-F,0.1,3:12:51,0.7414,0.7475,0.7414,0.7425,100,0.1,0.0988,0.1006,0.1028,0.1046,0.099,0.1024,0.0988,0.0998,0.0962,0.097
MEM-F,0.25,7:04:07,0.7632,0.7639,0.7632,0.7624,100,0.25,0.0993,0.0976,0.1003,0.0966,0.0986,0.1015,0.1005,0.1054,0.1,0.1002
MEM-F,0.5,13:31:44,0.7723,0.7728,0.7723,0.7712,100,0.5,0.0981,0.0974,0.0996,0.1003,0.0996,0.0992,0.1024,0.1011,0.1011,0.1011
MEM-F,0.75,19:55:37,0.779,0.7793,0.779,0.7785,100,0.75,0.1001,0.1007,0.0998,0.1001,0.1003,0.1001,0.1002,0.0999,0.0997,0.0993
WC,0.1,3:10:52,0.7441,0.7465,0.7441,0.7446,100,0.1,0.1036,0.1032,0.1,0.0942,0.1044,0.0974,0.1016,0.0998,0.0948,0.101
WC,0.25,7:02:49,0.7636,0.7642,0.7636,0.7631,100,0.25,0.1003,0.102,0.1017,0.099,0.1,0.1001,0.1004,0.0995,0.0978,0.0992
WC,0.5,13:30:33,0.7741,0.7735,0.7741,0.7734,100,0.5,0.1002,0.102,0.0998,0.1006,0.0973,0.0997,0.1021,0.1007,0.0977,0.0998
WC,0.75,19:54:52,0.7793,0.7797,0.7793,0.7787,100,0.75,0.1004,0.0996,0.0995,0.0997,0.0997,0.1005,0.1,0.0991,0.1009,0.1006
WC-F,0.1,3:10:42,0.7441,0.7465,0.7441,0.7446,100,0.1,0.1036,0.1032,0.1,0.0942,0.1044,0.0974,0.1016,0.0998,0.0948,0.101
WC-F,0.25,7:02:54,0.7636,0.7642,0.7636,0.7631,100,0.25,0.1003,0.102,0.1017,0.099,0.1,0.1001,0.1004,0.0995,0.0978,0.0992
WC-F,0.5,13:31:34,0.7741,0.7735,0.7741,0.7734,100,0.5,0.1002,0.102,0.0998,0.1006,0.0973,0.0997,0.1021,0.1007,0.0977,0.0998
WC-F,0.75,19:57:10,0.7793,0.7797,0.7793,0.7787,100,0.75,0.1004,0.0996,0.0995,0.0997,0.0997,0.1005,0.1,0.0991,0.1009,0.1006
