Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Airplane,Porcentaje Automobile,Porcentaje Bird,Porcentaje Cat,Porcentaje Deer,Porcentaje Dog,Porcentaje Frog,Porcentaje Horse,Porcentaje Ship,Porcentaje Truck
100%,1.0,0:23:38,0.7773,0.7761,0.7773,0.7752,1,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MA,0.1,4:40:11,0.744,0.7487,0.744,0.7447,100,0.1,0.0976,0.1002,0.1004,0.1016,0.0998,0.098,0.0914,0.1,0.1072,0.1038
MA,0.25,10:18:59,0.7644,0.7641,0.7644,0.7636,100,0.25,0.1,0.0931,0.1022,0.0966,0.1047,0.0967,0.1,0.1042,0.103,0.0994
MA,0.5,19:44:50,0.7747,0.7754,0.7747,0.7744,100,0.5,0.0996,0.1001,0.0972,0.0978,0.0999,0.0992,0.1011,0.1015,0.1036,0.1
MA,0.75,"1 day, 5:09:34",0.7786,0.7786,0.7786,0.7779,100,0.75,0.1002,0.0998,0.0981,0.1015,0.1009,0.0989,0.0997,0.0999,0.1009,0.1001
MA-F,0.1,4:38:50,0.744,0.7487,0.744,0.7447,100,0.1,0.0976,0.1002,0.1004,0.1016,0.0998,0.098,0.0914,0.1,0.1072,0.1038
MA-F,0.25,10:24:49,0.7644,0.7641,0.7644,0.7636,100,0.25,0.1,0.0931,0.1022,0.0966,0.1047,0.0967,0.1,0.1042,0.103,0.0994
MA-F,0.5,19:43:06,0.7747,0.7754,0.7747,0.7744,100,0.5,0.0996,0.1001,0.0972,0.0978,0.0999,0.0992,0.1011,0.1015,0.1036,0.1
MA-F,0.75,"1 day, 5:03:55",0.7786,0.7786,0.7786,0.7779,100,0.75,0.1002,0.0998,0.0981,0.1015,0.1009,0.0989,0.0997,0.0999,0.1009,0.1001
GA-AM,0.1,4:36:08,0.744,0.7452,0.744,0.7441,100,0.1,0.0998,0.0974,0.1056,0.0992,0.101,0.098,0.0992,0.102,0.1016,0.0962
GA-AM,0.25,10:16:19,0.7644,0.7641,0.7644,0.7636,100,0.25,0.1,0.0931,0.1022,0.0966,0.1047,0.0967,0.1,0.1042,0.103,0.0994
GA-AM,0.5,19:41:55,0.7759,0.7768,0.7759,0.7755,100,0.5,0.0994,0.1013,0.1031,0.0986,0.0994,0.0986,0.1024,0.0975,0.0989,0.1008
GA-AM,0.75,"1 day, 5:06:25",0.7802,0.7803,0.7802,0.7801,100,0.75,0.0991,0.0981,0.0993,0.1013,0.1001,0.0994,0.1019,0.0995,0.101,0.1002
GA-AM-F,0.1,4:36:38,0.744,0.7452,0.744,0.7441,100,0.1,0.0998,0.0974,0.1056,0.0992,0.101,0.098,0.0992,0.102,0.1016,0.0962
GA-AM-F,0.25,10:28:30,0.7644,0.7641,0.7644,0.7636,100,0.25,0.1,0.0931,0.1022,0.0966,0.1047,0.0967,0.1,0.1042,0.103,0.0994
GA-AM-F,0.5,19:44:40,0.7759,0.7768,0.7759,0.7755,100,0.5,0.0994,0.1013,0.1031,0.0986,0.0994,0.0986,0.1024,0.0975,0.0989,0.1008
GA-AM-F,0.75,"1 day, 5:18:43",0.7802,0.7803,0.7802,0.7801,100,0.75,0.0991,0.0981,0.0993,0.1013,0.1001,0.0994,0.1019,0.0995,0.101,0.1002
