Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
GA-WC,0.1,0:30:11,0.8172,0.8317,0.8172,0.8069,100,0.1,0.4008,0.2897,0.3095
GA-WC,0.25,1:02:45,0.8091,0.8269,0.8091,0.8013,100,0.25,0.3349,0.3476,0.3175
GA-WC,0.5,1:59:55,0.8065,0.8233,0.8065,0.8008,100,0.5,0.3325,0.3421,0.3254
GA-WC,0.75,2:53:24,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
