

---------------------------------------RPS  mobilenet  GENETICO2 (LIBRE)  10%----------------------------------------------

Start time: 2025-05-10 09:13:22.133174 UTC
Evaluación 1 -> 2025-05-10 09:14:05.975204 UTC
Evaluación 2 -> 2025-05-10 09:14:24.944246 UTC
Evaluación 3 -> 2025-05-10 09:14:44.204456 UTC
Evaluación 4 -> 2025-05-10 09:15:03.286747 UTC
Evaluación 5 -> 2025-05-10 09:15:21.868685 UTC
Evaluación 6 -> 2025-05-10 09:15:40.925282 UTC
Evaluación 7 -> 2025-05-10 09:15:59.269987 UTC
Evaluación 8 -> 2025-05-10 09:16:18.126752 UTC
Evaluación 9 -> 2025-05-10 09:16:37.017090 UTC
Evaluación 10 -> 2025-05-10 09:16:55.563899 UTC
Evaluación 11 -> 2025-05-10 09:17:12.560029 UTC
Evaluación 12 -> 2025-05-10 09:17:29.087336 UTC
Evaluación 13 -> 2025-05-10 09:17:40.974151 UTC
Evaluación 14 -> 2025-05-10 09:17:53.115075 UTC
Evaluación 15 -> 2025-05-10 09:18:10.778807 UTC
Evaluación 16 -> 2025-05-10 09:18:28.207136 UTC
Evaluación 17 -> 2025-05-10 09:18:41.445057 UTC
Evaluación 18 -> 2025-05-10 09:18:54.830374 UTC
Evaluación 19 -> 2025-05-10 09:19:19.518300 UTC
Evaluación 20 -> 2025-05-10 09:19:43.086761 UTC
Evaluación 21 -> 2025-05-10 09:19:55.888229 UTC
Evaluación 22 -> 2025-05-10 09:20:08.870457 UTC
Evaluación 23 -> 2025-05-10 09:20:32.003949 UTC
Evaluación 24 -> 2025-05-10 09:20:55.749381 UTC
Evaluación 25 -> 2025-05-10 09:21:14.220401 UTC
Evaluación 26 -> 2025-05-10 09:21:32.827405 UTC
Evaluación 27 -> 2025-05-10 09:21:48.277309 UTC
Evaluación 28 -> 2025-05-10 09:22:03.682859 UTC
Evaluación 29 -> 2025-05-10 09:22:20.637067 UTC
Evaluación 30 -> 2025-05-10 09:22:37.360973 UTC
Evaluación 31 -> 2025-05-10 09:22:47.682259 UTC
Evaluación 32 -> 2025-05-10 09:22:58.160998 UTC
Evaluación 33 -> 2025-05-10 09:23:16.486877 UTC
Evaluación 34 -> 2025-05-10 09:23:34.172627 UTC
Evaluación 35 -> 2025-05-10 09:23:50.352643 UTC
Evaluación 36 -> 2025-05-10 09:24:07.182540 UTC
Evaluación 37 -> 2025-05-10 09:24:29.654586 UTC
Evaluación 38 -> 2025-05-10 09:24:51.418420 UTC
Evaluación 39 -> 2025-05-10 09:25:12.348474 UTC
Evaluación 40 -> 2025-05-10 09:25:33.793627 UTC
Evaluación 41 -> 2025-05-10 09:25:50.464103 UTC
Evaluación 42 -> 2025-05-10 09:26:06.835695 UTC
Evaluación 43 -> 2025-05-10 09:26:36.652002 UTC
Evaluación 44 -> 2025-05-10 09:27:05.530702 UTC
Evaluación 45 -> 2025-05-10 09:27:36.007175 UTC
Evaluación 46 -> 2025-05-10 09:28:06.084022 UTC
Evaluación 47 -> 2025-05-10 09:28:41.687833 UTC
Evaluación 48 -> 2025-05-10 09:29:16.232773 UTC
Evaluación 49 -> 2025-05-10 09:29:46.922527 UTC
Evaluación 50 -> 2025-05-10 09:30:17.472362 UTC
Evaluación 51 -> 2025-05-10 09:30:43.416153 UTC
Evaluación 52 -> 2025-05-10 09:31:10.192129 UTC
Evaluación 53 -> 2025-05-10 09:31:30.367860 UTC
Evaluación 54 -> 2025-05-10 09:31:50.215830 UTC
Evaluación 55 -> 2025-05-10 09:32:28.153456 UTC
Evaluación 56 -> 2025-05-10 09:33:05.523373 UTC
Evaluación 57 -> 2025-05-10 09:33:42.226936 UTC
Evaluación 58 -> 2025-05-10 09:34:18.523562 UTC
Evaluación 59 -> 2025-05-10 09:34:44.673841 UTC
Evaluación 60 -> 2025-05-10 09:35:11.771729 UTC
Evaluación 61 -> 2025-05-10 09:35:34.567270 UTC
Evaluación 62 -> 2025-05-10 09:35:56.736204 UTC
Evaluación 63 -> 2025-05-10 09:36:19.819357 UTC
Evaluación 64 -> 2025-05-10 09:36:42.824631 UTC
Evaluación 65 -> 2025-05-10 09:37:21.539438 UTC
Evaluación 66 -> 2025-05-10 09:37:59.951690 UTC
Evaluación 67 -> 2025-05-10 09:38:40.366414 UTC
Evaluación 68 -> 2025-05-10 09:39:21.085895 UTC
Evaluación 69 -> 2025-05-10 09:39:59.486888 UTC
Evaluación 70 -> 2025-05-10 09:40:37.464064 UTC
Evaluación 71 -> 2025-05-10 09:40:56.343223 UTC
Evaluación 72 -> 2025-05-10 09:41:15.368010 UTC
Evaluación 73 -> 2025-05-10 09:41:43.218222 UTC
Evaluación 74 -> 2025-05-10 09:42:10.921013 UTC
Evaluación 75 -> 2025-05-10 09:42:43.698196 UTC
Evaluación 76 -> 2025-05-10 09:43:16.230595 UTC
Evaluación 77 -> 2025-05-10 09:43:46.405499 UTC
Evaluación 78 -> 2025-05-10 09:44:16.363569 UTC
Evaluación 79 -> 2025-05-10 09:44:47.065622 UTC
Evaluación 80 -> 2025-05-10 09:45:18.240251 UTC
Evaluación 81 -> 2025-05-10 09:45:58.722851 UTC
Evaluación 82 -> 2025-05-10 09:46:38.930002 UTC
Evaluación 83 -> 2025-05-10 09:47:26.411686 UTC
Evaluación 84 -> 2025-05-10 09:48:13.670454 UTC
Evaluación 85 -> 2025-05-10 09:48:31.275185 UTC
Evaluación 86 -> 2025-05-10 09:48:48.865084 UTC
Evaluación 87 -> 2025-05-10 09:49:18.907250 UTC
Evaluación 88 -> 2025-05-10 09:49:48.811168 UTC
Evaluación 89 -> 2025-05-10 09:50:30.258506 UTC
Evaluación 90 -> 2025-05-10 09:51:11.610531 UTC
Evaluación 91 -> 2025-05-10 09:51:45.676122 UTC
Evaluación 92 -> 2025-05-10 09:52:20.032826 UTC
Evaluación 93 -> 2025-05-10 09:53:01.905738 UTC
Evaluación 94 -> 2025-05-10 09:53:43.408449 UTC
Evaluación 95 -> 2025-05-10 09:54:35.893064 UTC
Evaluación 96 -> 2025-05-10 09:55:28.298628 UTC
Evaluación 97 -> 2025-05-10 09:56:16.564368 UTC
Evaluación 98 -> 2025-05-10 09:57:05.033410 UTC
Evaluación 99 -> 2025-05-10 09:57:43.843511 UTC
Evaluación 100 -> 2025-05-10 09:58:22.525549 UTC


---------------------------------------RPS  mobilenet  GENETICO2 (LIBRE)  25%----------------------------------------------

Start time: 2025-05-10 09:59:03.048510 UTC
Evaluación 1 -> 2025-05-10 09:59:41.362316 UTC
Evaluación 2 -> 2025-05-10 10:00:18.994562 UTC
Evaluación 3 -> 2025-05-10 10:00:56.244184 UTC
Evaluación 4 -> 2025-05-10 10:01:33.469166 UTC
Evaluación 5 -> 2025-05-10 10:02:10.705553 UTC
Evaluación 6 -> 2025-05-10 10:02:47.727818 UTC
Evaluación 7 -> 2025-05-10 10:03:25.533055 UTC
Evaluación 8 -> 2025-05-10 10:04:03.011373 UTC
Evaluación 9 -> 2025-05-10 10:04:40.331714 UTC
Evaluación 10 -> 2025-05-10 10:05:17.752215 UTC
Evaluación 11 -> 2025-05-10 10:05:57.244677 UTC
Evaluación 12 -> 2025-05-10 10:06:36.602632 UTC
Evaluación 13 -> 2025-05-10 10:07:09.985437 UTC
Evaluación 14 -> 2025-05-10 10:07:43.083837 UTC
Evaluación 15 -> 2025-05-10 10:08:04.621236 UTC
Evaluación 16 -> 2025-05-10 10:08:25.600326 UTC
Evaluación 17 -> 2025-05-10 10:09:18.433504 UTC
Evaluación 18 -> 2025-05-10 10:10:10.893390 UTC
Evaluación 19 -> 2025-05-10 10:10:33.908831 UTC
Evaluación 20 -> 2025-05-10 10:10:56.908578 UTC
Evaluación 21 -> 2025-05-10 10:11:46.449133 UTC
Evaluación 22 -> 2025-05-10 10:12:35.204012 UTC
Evaluación 23 -> 2025-05-10 10:13:00.145411 UTC
Evaluación 24 -> 2025-05-10 10:13:25.167730 UTC
Evaluación 25 -> 2025-05-10 10:13:56.683367 UTC
Evaluación 26 -> 2025-05-10 10:14:28.075707 UTC
Evaluación 27 -> 2025-05-10 10:15:10.261909 UTC
Evaluación 28 -> 2025-05-10 10:15:52.448099 UTC
Evaluación 29 -> 2025-05-10 10:16:16.384386 UTC
Evaluación 30 -> 2025-05-10 10:16:40.801890 UTC
Evaluación 31 -> 2025-05-10 10:17:22.394857 UTC
Evaluación 32 -> 2025-05-10 10:18:04.190381 UTC
Evaluación 33 -> 2025-05-10 10:18:38.395092 UTC
Evaluación 34 -> 2025-05-10 10:19:12.891064 UTC
Evaluación 35 -> 2025-05-10 10:19:46.175001 UTC
Evaluación 36 -> 2025-05-10 10:20:19.516185 UTC
Evaluación 37 -> 2025-05-10 10:20:47.331708 UTC
Evaluación 38 -> 2025-05-10 10:21:14.978198 UTC
Evaluación 39 -> 2025-05-10 10:21:42.842828 UTC
Evaluación 40 -> 2025-05-10 10:22:10.858577 UTC
Evaluación 41 -> 2025-05-10 10:22:42.401451 UTC
Evaluación 42 -> 2025-05-10 10:23:13.327270 UTC
Evaluación 43 -> 2025-05-10 10:24:07.985289 UTC
Evaluación 44 -> 2025-05-10 10:25:03.142002 UTC
Evaluación 45 -> 2025-05-10 10:25:32.601419 UTC
Evaluación 46 -> 2025-05-10 10:26:01.537716 UTC
Evaluación 47 -> 2025-05-10 10:26:56.513104 UTC
Evaluación 48 -> 2025-05-10 10:27:51.178727 UTC
Evaluación 49 -> 2025-05-10 10:28:35.159448 UTC
Evaluación 50 -> 2025-05-10 10:29:19.747217 UTC
Evaluación 51 -> 2025-05-10 10:29:52.702080 UTC
Evaluación 52 -> 2025-05-10 10:30:25.511063 UTC
Evaluación 53 -> 2025-05-10 10:30:53.616946 UTC
Evaluación 54 -> 2025-05-10 10:31:22.050443 UTC
Evaluación 55 -> 2025-05-10 10:31:56.557786 UTC
Evaluación 56 -> 2025-05-10 10:32:31.174572 UTC
Evaluación 57 -> 2025-05-10 10:33:19.604424 UTC
Evaluación 58 -> 2025-05-10 10:34:07.894508 UTC
Evaluación 59 -> 2025-05-10 10:34:45.345402 UTC
Evaluación 60 -> 2025-05-10 10:35:23.172933 UTC
Evaluación 61 -> 2025-05-10 10:35:43.067348 UTC
Evaluación 62 -> 2025-05-10 10:36:03.040911 UTC
Evaluación 63 -> 2025-05-10 10:36:52.219728 UTC
Evaluación 64 -> 2025-05-10 10:37:41.162367 UTC
Evaluación 65 -> 2025-05-10 10:38:06.761812 UTC
Evaluación 66 -> 2025-05-10 10:38:31.327216 UTC
Evaluación 67 -> 2025-05-10 10:39:10.330083 UTC
Evaluación 68 -> 2025-05-10 10:39:49.235297 UTC
Evaluación 69 -> 2025-05-10 10:40:16.591441 UTC
Evaluación 70 -> 2025-05-10 10:40:44.676307 UTC
Evaluación 71 -> 2025-05-10 10:41:11.049180 UTC
Evaluación 72 -> 2025-05-10 10:41:37.122502 UTC
Evaluación 73 -> 2025-05-10 10:42:12.578833 UTC
