

---------------------------------------RPS  mobilenet  GENETICO2 (LIBRE)  10%----------------------------------------------

Start time: 2025-05-10 09:13:22.132896 UTC
---------------------------------------RPS  mobilenet  GENETICO2 (LIBRE)  25%----------------------------------------------

Start time: 2025-05-10 09:45:10.152709 UTC
Evaluación 1 -> 2025-05-10 09:45:48.076076 UTC
Evaluación 2 -> 2025-05-10 09:46:25.366554 UTC
Evaluación 3 -> 2025-05-10 09:47:02.314524 UTC
Evaluación 4 -> 2025-05-10 09:47:39.544671 UTC
Evaluación 5 -> 2025-05-10 09:48:16.635338 UTC
Evaluación 6 -> 2025-05-10 09:48:54.321803 UTC
Evaluación 7 -> 2025-05-10 09:49:31.686628 UTC
Evaluación 8 -> 2025-05-10 09:50:08.960205 UTC
Evaluación 9 -> 2025-05-10 09:50:46.274798 UTC
Evaluación 10 -> 2025-05-10 09:51:23.378793 UTC
Evaluación 11 -> 2025-05-10 09:51:51.421505 UTC
Evaluación 12 -> 2025-05-10 09:52:19.965940 UTC
Evaluación 13 -> 2025-05-10 09:52:42.606480 UTC
Evaluación 14 -> 2025-05-10 09:53:05.067939 UTC
Evaluación 15 -> 2025-05-10 09:53:54.137979 UTC
Evaluación 16 -> 2025-05-10 09:54:43.135230 UTC
Evaluación 17 -> 2025-05-10 09:55:13.331158 UTC
Evaluación 18 -> 2025-05-10 09:55:43.722432 UTC
Evaluación 19 -> 2025-05-10 09:56:16.881516 UTC
Evaluación 20 -> 2025-05-10 09:56:50.488650 UTC
Evaluación 21 -> 2025-05-10 09:57:32.302358 UTC
Evaluación 22 -> 2025-05-10 09:58:13.915975 UTC
Evaluación 23 -> 2025-05-10 09:58:49.897462 UTC
Evaluación 24 -> 2025-05-10 09:59:25.663501 UTC
Evaluación 25 -> 2025-05-10 09:59:53.889876 UTC
Evaluación 26 -> 2025-05-10 10:00:22.083999 UTC
Evaluación 27 -> 2025-05-10 10:01:09.076162 UTC
Evaluación 28 -> 2025-05-10 10:01:56.153331 UTC
Evaluación 29 -> 2025-05-10 10:02:39.098961 UTC
Evaluación 30 -> 2025-05-10 10:03:22.139983 UTC
Evaluación 31 -> 2025-05-10 10:04:31.262935 UTC
Evaluación 32 -> 2025-05-10 10:05:40.223885 UTC
Evaluación 33 -> 2025-05-10 10:05:56.795136 UTC
Evaluación 34 -> 2025-05-10 10:06:13.315525 UTC
Evaluación 35 -> 2025-05-10 10:07:08.897559 UTC
Evaluación 36 -> 2025-05-10 10:08:04.016880 UTC
Evaluación 37 -> 2025-05-10 10:08:30.018700 UTC
Evaluación 38 -> 2025-05-10 10:08:56.482098 UTC
Evaluación 39 -> 2025-05-10 10:09:25.782994 UTC
Evaluación 40 -> 2025-05-10 10:09:55.026307 UTC
Evaluación 41 -> 2025-05-10 10:10:32.546655 UTC
Evaluación 42 -> 2025-05-10 10:11:09.926970 UTC
Evaluación 43 -> 2025-05-10 10:11:30.367550 UTC
Evaluación 44 -> 2025-05-10 10:11:50.569876 UTC
Evaluación 45 -> 2025-05-10 10:12:44.967507 UTC
Evaluación 46 -> 2025-05-10 10:13:38.347918 UTC
Evaluación 47 -> 2025-05-10 10:14:12.821009 UTC
Evaluación 48 -> 2025-05-10 10:14:46.592334 UTC
Evaluación 49 -> 2025-05-10 10:15:50.359055 UTC
Evaluación 50 -> 2025-05-10 10:16:54.690824 UTC
Evaluación 51 -> 2025-05-10 10:17:47.488448 UTC
Evaluación 52 -> 2025-05-10 10:18:40.678543 UTC
Evaluación 53 -> 2025-05-10 10:19:34.115570 UTC
Evaluación 54 -> 2025-05-10 10:20:27.586621 UTC
Evaluación 55 -> 2025-05-10 10:20:44.014784 UTC
Evaluación 56 -> 2025-05-10 10:21:00.402526 UTC
Evaluación 57 -> 2025-05-10 10:21:45.526595 UTC
Evaluación 58 -> 2025-05-10 10:22:30.659830 UTC
Evaluación 59 -> 2025-05-10 10:23:06.162355 UTC
Evaluación 60 -> 2025-05-10 10:23:41.193415 UTC
Evaluación 61 -> 2025-05-10 10:24:00.802471 UTC
Evaluación 62 -> 2025-05-10 10:24:21.007892 UTC
Evaluación 63 -> 2025-05-10 10:24:51.914652 UTC
Evaluación 64 -> 2025-05-10 10:25:22.220585 UTC
Evaluación 65 -> 2025-05-10 10:25:56.227917 UTC
Evaluación 66 -> 2025-05-10 10:26:30.605574 UTC
Evaluación 67 -> 2025-05-10 10:27:00.364865 UTC
Evaluación 68 -> 2025-05-10 10:27:29.702922 UTC
Evaluación 69 -> 2025-05-10 10:28:37.320005 UTC
Evaluación 70 -> 2025-05-10 10:29:45.263500 UTC
Evaluación 71 -> 2025-05-10 10:30:14.167263 UTC
Evaluación 72 -> 2025-05-10 10:30:43.193390 UTC
Evaluación 73 -> 2025-05-10 10:31:15.372341 UTC
Evaluación 74 -> 2025-05-10 10:31:46.980510 UTC
Evaluación 75 -> 2025-05-10 10:32:20.893325 UTC
Evaluación 76 -> 2025-05-10 10:32:54.736935 UTC
Evaluación 77 -> 2025-05-10 10:33:42.184662 UTC
Evaluación 78 -> 2025-05-10 10:34:29.990246 UTC
Evaluación 79 -> 2025-05-10 10:35:55.247110 UTC
Evaluación 80 -> 2025-05-10 10:37:21.059738 UTC
Evaluación 81 -> 2025-05-10 10:37:52.303927 UTC
Evaluación 82 -> 2025-05-10 10:38:23.133553 UTC
Evaluación 83 -> 2025-05-10 10:39:09.528565 UTC
Evaluación 84 -> 2025-05-10 10:39:56.127800 UTC
Evaluación 85 -> 2025-05-10 10:40:29.026095 UTC
Evaluación 86 -> 2025-05-10 10:41:01.931493 UTC
Evaluación 87 -> 2025-05-10 10:41:39.045813 UTC
Evaluación 88 -> 2025-05-10 10:42:17.012415 UTC
Evaluación 89 -> 2025-05-10 10:42:41.597820 UTC
Evaluación 90 -> 2025-05-10 10:43:05.425316 UTC
Evaluación 91 -> 2025-05-10 10:43:39.186141 UTC
Evaluación 92 -> 2025-05-10 10:44:13.258110 UTC
Evaluación 93 -> 2025-05-10 10:44:46.113687 UTC
Evaluación 94 -> 2025-05-10 10:45:18.769725 UTC
Evaluación 95 -> 2025-05-10 10:45:50.576310 UTC
Evaluación 96 -> 2025-05-10 10:46:21.900283 UTC
Evaluación 97 -> 2025-05-10 10:46:55.594543 UTC
Evaluación 98 -> 2025-05-10 10:47:29.583091 UTC
Evaluación 99 -> 2025-05-10 10:48:03.927517 UTC
Evaluación 100 -> 2025-05-10 10:48:37.942216 UTC


---------------------------------------RPS  mobilenet  GENETICO2 (LIBRE)  50%----------------------------------------------

Start time: 2025-05-10 10:49:08.990054 UTC
Evaluación 1 -> 2025-05-10 10:50:20.005442 UTC
Evaluación 2 -> 2025-05-10 10:51:29.975173 UTC
Evaluación 3 -> 2025-05-10 10:52:39.980272 UTC
Evaluación 4 -> 2025-05-10 10:53:50.317626 UTC
Evaluación 5 -> 2025-05-10 10:55:00.099134 UTC
Evaluación 6 -> 2025-05-10 10:56:10.277784 UTC
Evaluación 7 -> 2025-05-10 10:57:20.156320 UTC
Evaluación 8 -> 2025-05-10 10:58:30.341368 UTC
Evaluación 9 -> 2025-05-10 10:59:39.889069 UTC
Evaluación 10 -> 2025-05-10 11:00:49.366559 UTC
Evaluación 11 -> 2025-05-10 11:01:40.900808 UTC
Evaluación 12 -> 2025-05-10 11:02:32.089492 UTC
Evaluación 13 -> 2025-05-10 11:04:00.322425 UTC
Evaluación 14 -> 2025-05-10 11:05:28.624103 UTC
Evaluación 15 -> 2025-05-10 11:06:52.629525 UTC
Evaluación 16 -> 2025-05-10 11:08:16.603546 UTC
Evaluación 17 -> 2025-05-10 11:09:52.528965 UTC
Evaluación 18 -> 2025-05-10 11:11:28.401478 UTC
Evaluación 19 -> 2025-05-10 11:13:07.298396 UTC
Evaluación 20 -> 2025-05-10 11:14:46.933079 UTC
Evaluación 21 -> 2025-05-10 11:16:17.109105 UTC
Evaluación 22 -> 2025-05-10 11:17:47.244525 UTC
Evaluación 23 -> 2025-05-10 11:19:08.428312 UTC
Evaluación 24 -> 2025-05-10 11:20:29.911949 UTC
Evaluación 25 -> 2025-05-10 11:21:47.121517 UTC
Evaluación 26 -> 2025-05-10 11:23:04.649829 UTC
Evaluación 27 -> 2025-05-10 11:24:22.055415 UTC
Evaluación 28 -> 2025-05-10 11:25:39.623312 UTC
Evaluación 29 -> 2025-05-10 11:27:03.145197 UTC
Evaluación 30 -> 2025-05-10 11:28:26.897983 UTC
Evaluación 31 -> 2025-05-10 11:29:41.294086 UTC
Evaluación 32 -> 2025-05-10 11:30:56.236148 UTC
Evaluación 33 -> 2025-05-10 11:31:32.445115 UTC
Evaluación 34 -> 2025-05-10 11:32:08.688495 UTC
Evaluación 35 -> 2025-05-10 11:33:12.301040 UTC
Evaluación 36 -> 2025-05-10 11:34:14.929853 UTC
Evaluación 37 -> 2025-05-10 11:35:28.920951 UTC
Evaluación 38 -> 2025-05-10 11:36:42.655054 UTC
Evaluación 39 -> 2025-05-10 11:38:12.006483 UTC
Evaluación 40 -> 2025-05-10 11:39:40.854226 UTC
Evaluación 41 -> 2025-05-10 11:40:46.579865 UTC
Evaluación 42 -> 2025-05-10 11:41:52.357725 UTC
Evaluación 43 -> 2025-05-10 11:42:41.521994 UTC
Evaluación 44 -> 2025-05-10 11:43:30.821367 UTC
Evaluación 45 -> 2025-05-10 11:45:20.181062 UTC
Evaluación 46 -> 2025-05-10 11:47:09.158211 UTC
Evaluación 47 -> 2025-05-10 11:48:14.416790 UTC
