Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final
100%,1.0,12:50:44,0.927570093457944,0.925983005975197,0.927570093457944,0.9258885178663795,100,0.90018654
RS,0.1,1:31:13,0.9018691588785047,0.8983763263650913,0.9018691588785047,0.8995423989659819,100,0.09001866
LS,0.1,1:32:27,0.9123831775700935,0.9093034705484765,0.9123831775700935,0.9102903210741667,100,0.09001866
GA,0.1,1:30:56,0.9135514018691588,0.9093686311750416,0.9135514018691588,0.9102209461447837,100,0.09001866
MA,0.1,1:31:24,0.9088785046728972,0.9055787530225293,0.9088785046728972,0.905957392870948,100,0.09001866
GA-WC,0.1,1:32:36,0.905373831775701,0.9009592314636424,0.905373831775701,0.9015017034253255,100,0.09001866
GA-PR,0.1,1:33:12,0.905373831775701,0.9015415530619699,0.905373831775701,0.9024456118535391,100,0.09001866
