Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Drawings,Porcentaje Engraving,Porcentaje Iconography,Porcentaje Painting,Porcentaje Sculpture
100%,1.0,0:08:51,0.9287,0.9274,0.9287,0.9278,1,1.0,0.1434,0.0979,0.269,0.2645,0.2251
RS,0.25,3:39:53,0.9206,0.9172,0.9206,0.918,100,0.25,0.1523,0.0979,0.2762,0.2617,0.2119
RS,0.5,7:04:58,0.9276,0.9255,0.9276,0.926,100,0.5,0.1399,0.0984,0.2712,0.2699,0.2205
