Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Drawings,Porcentaje Engraving,Porcentaje Iconography,Porcentaje Painting,Porcentaje Sculpture
100%,1.0,0:07:40,0.9124,0.9101,0.9124,0.909,1,1.0,0.1434,0.0979,0.269,0.2645,0.2251
RS,0.25,3:06:30,0.9194,0.9175,0.9194,0.9181,100,0.25,0.1492,0.1031,0.2741,0.2482,0.2254
RS,0.5,5:58:48,0.9276,0.9253,0.9276,0.926,100,0.5,0.1461,0.092,0.2744,0.2676,0.2199
