,Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Drawings,Porcentaje Engraving,Porcentaje Iconography,Porcentaje Painting,Porcentaje Sculpture
0,100%,1.0,0 days 00:07:40,0.9124,0.9101,0.9124,0.909,1,1.0,0.1434,0.0979,0.269,0.2645,0.2251
1,RS,0.25,0 days 03:06:30,0.9194,0.9175,0.9194,0.9181,100,0.25,0.1492,0.1031,0.2741,0.2482,0.2254
2,RS,0.5,0 days 05:58:48,0.9276,0.9253,0.9276,0.926,100,0.5,0.1461,0.092,0.2744,0.2676,0.2199
0,100%,1.0,0 days 00:07:43,0.9276,0.926,0.9276,0.9259,1,1.0,0.1434,0.0979,0.269,0.2645,0.2251
1,RS,0.25,0 days 03:08:31,0.9182,0.9152,0.9182,0.9155,100,0.25,0.1435,0.1016,0.2611,0.2585,0.2352
2,RS,0.5,0 days 06:03:29,0.9252,0.9239,0.9252,0.9241,100,0.5,0.1435,0.0972,0.2591,0.2736,0.2267
0,100%,1.0,0 days 00:08:44,0.9206,0.9186,0.9206,0.9191,1,1.0,0.1434,0.0979,0.269,0.2645,0.2251
1,RS,0.25,0 days 03:35:36,0.9159,0.9124,0.9159,0.9135,100,0.25,0.1477,0.0933,0.272,0.2585,0.2285
2,RS,0.5,0 days 06:55:05,0.9287,0.9281,0.9287,0.9277,100,0.5,0.1404,0.0938,0.2723,0.2733,0.2202
0,100%,1.0,0 days 00:08:51,0.9287,0.9274,0.9287,0.9278,1,1.0,0.1434,0.0979,0.269,0.2645,0.2251
1,RS,0.25,0 days 03:39:53,0.9206,0.9172,0.9206,0.918,100,0.25,0.1523,0.0979,0.2762,0.2617,0.2119
2,RS,0.5,0 days 07:04:58,0.9276,0.9255,0.9276,0.926,100,0.5,0.1399,0.0984,0.2712,0.2699,0.2205
0,100%,1.0,0 days 00:07:33,0.9229,0.9206,0.9229,0.9212,1,1.0,0.1434,0.0979,0.269,0.2645,0.2251
1,RS,0.25,0 days 03:05:18,0.9159,0.9124,0.9159,0.9134,100,0.25,0.1492,0.1078,0.2699,0.2508,0.2223
2,RS,0.5,0 days 06:00:03,0.9252,0.9232,0.9252,0.9235,100,0.5,0.1477,0.1034,0.2617,0.2666,0.2207
