

---------------------------------------PAINTING  mobilenet  ALEATORIO  100%----------------------------------------------

Start time: 2025-05-20 17:12:12.345408 UTC
Evaluación 1 -> 2025-05-20 17:19:53.155921 UTC


---------------------------------------PAINTING  mobilenet  ALEATORIO  25%----------------------------------------------

Start time: 2025-05-20 17:26:57.773838 UTC
Evaluación 1 -> 2025-05-20 17:28:49.877404 UTC
Evaluación 2 -> 2025-05-20 17:30:43.628485 UTC
Evaluación 3 -> 2025-05-20 17:32:37.654460 UTC
Evaluación 4 -> 2025-05-20 17:34:30.935307 UTC
Evaluación 5 -> 2025-05-20 17:36:25.360044 UTC
Evaluación 6 -> 2025-05-20 17:38:18.272089 UTC
Evaluación 7 -> 2025-05-20 17:40:10.507761 UTC
Evaluación 8 -> 2025-05-20 17:42:02.529774 UTC
Evaluación 9 -> 2025-05-20 17:43:54.786666 UTC
Evaluación 10 -> 2025-05-20 17:45:48.046646 UTC
Evaluación 11 -> 2025-05-20 17:47:40.074182 UTC
Evaluación 12 -> 2025-05-20 17:49:31.179234 UTC
Evaluación 13 -> 2025-05-20 17:51:22.942637 UTC
Evaluación 14 -> 2025-05-20 17:53:15.181006 UTC
Evaluación 15 -> 2025-05-20 17:55:07.269586 UTC
Evaluación 16 -> 2025-05-20 17:56:58.527121 UTC
Evaluación 17 -> 2025-05-20 17:58:51.817305 UTC
Evaluación 18 -> 2025-05-20 18:00:43.019579 UTC
Evaluación 19 -> 2025-05-20 18:02:33.853277 UTC
Evaluación 20 -> 2025-05-20 18:04:25.700305 UTC
Evaluación 21 -> 2025-05-20 18:06:17.740306 UTC
Evaluación 22 -> 2025-05-20 18:08:10.378566 UTC
Evaluación 23 -> 2025-05-20 18:10:01.593303 UTC
Evaluación 24 -> 2025-05-20 18:11:53.194538 UTC
Evaluación 25 -> 2025-05-20 18:13:43.448800 UTC
Evaluación 26 -> 2025-05-20 18:15:37.117172 UTC
Evaluación 27 -> 2025-05-20 18:17:29.793180 UTC
Evaluación 28 -> 2025-05-20 18:19:22.894866 UTC
Evaluación 29 -> 2025-05-20 18:21:16.923532 UTC
Evaluación 30 -> 2025-05-20 18:23:09.146475 UTC
Evaluación 31 -> 2025-05-20 18:25:01.479643 UTC
Evaluación 32 -> 2025-05-20 18:26:51.553776 UTC
Evaluación 33 -> 2025-05-20 18:28:43.876240 UTC
Evaluación 34 -> 2025-05-20 18:30:36.094724 UTC
Evaluación 35 -> 2025-05-20 18:32:26.157574 UTC
Evaluación 36 -> 2025-05-20 18:34:18.974532 UTC
Evaluación 37 -> 2025-05-20 18:36:10.732808 UTC
Evaluación 38 -> 2025-05-20 18:38:02.439568 UTC
Evaluación 39 -> 2025-05-20 18:39:54.752556 UTC
Evaluación 40 -> 2025-05-20 18:41:46.784794 UTC
Evaluación 41 -> 2025-05-20 18:43:38.539366 UTC
Evaluación 42 -> 2025-05-20 18:45:30.728899 UTC
Evaluación 43 -> 2025-05-20 18:47:20.765736 UTC
Evaluación 44 -> 2025-05-20 18:49:13.155083 UTC
Evaluación 45 -> 2025-05-20 18:51:02.669818 UTC
Evaluación 46 -> 2025-05-20 18:52:54.210372 UTC
Evaluación 47 -> 2025-05-20 18:54:45.672067 UTC
Evaluación 48 -> 2025-05-20 18:56:37.724989 UTC
Evaluación 49 -> 2025-05-20 18:58:30.594906 UTC
Evaluación 50 -> 2025-05-20 19:00:21.721725 UTC
Evaluación 51 -> 2025-05-20 19:02:12.039876 UTC
Evaluación 52 -> 2025-05-20 19:04:04.314539 UTC
Evaluación 53 -> 2025-05-20 19:05:56.051826 UTC
Evaluación 54 -> 2025-05-20 19:07:47.282166 UTC
Evaluación 55 -> 2025-05-20 19:09:41.531266 UTC
Evaluación 56 -> 2025-05-20 19:11:34.101733 UTC
Evaluación 57 -> 2025-05-20 19:13:25.924520 UTC
Evaluación 58 -> 2025-05-20 19:15:18.994687 UTC
Evaluación 59 -> 2025-05-20 19:17:10.060875 UTC
Evaluación 60 -> 2025-05-20 19:19:00.914957 UTC
Evaluación 61 -> 2025-05-20 19:20:52.840330 UTC
Evaluación 62 -> 2025-05-20 19:22:44.487701 UTC
Evaluación 63 -> 2025-05-20 19:24:36.390622 UTC
Evaluación 64 -> 2025-05-20 19:26:28.049359 UTC
Evaluación 65 -> 2025-05-20 19:28:20.363553 UTC
Evaluación 66 -> 2025-05-20 19:30:12.335036 UTC
Evaluación 67 -> 2025-05-20 19:32:03.562222 UTC
Evaluación 68 -> 2025-05-20 19:33:55.995425 UTC
Evaluación 69 -> 2025-05-20 19:35:46.897102 UTC
Evaluación 70 -> 2025-05-20 19:37:37.329627 UTC
Evaluación 71 -> 2025-05-20 19:39:32.183346 UTC
Evaluación 72 -> 2025-05-20 19:41:24.316107 UTC
Evaluación 73 -> 2025-05-20 19:43:14.912913 UTC
Evaluación 74 -> 2025-05-20 19:45:08.344884 UTC
Evaluación 75 -> 2025-05-20 19:46:59.333141 UTC
Evaluación 76 -> 2025-05-20 19:48:51.910296 UTC
Evaluación 77 -> 2025-05-20 19:50:44.586399 UTC
Evaluación 78 -> 2025-05-20 19:52:36.616763 UTC
Evaluación 79 -> 2025-05-20 19:54:26.766423 UTC
Evaluación 80 -> 2025-05-20 19:56:18.685246 UTC
Evaluación 81 -> 2025-05-20 19:58:10.738715 UTC
Evaluación 82 -> 2025-05-20 20:00:02.621536 UTC
Evaluación 83 -> 2025-05-20 20:01:54.069734 UTC
