

---------------------------------------RPS  mobilenet  BUSQUEDA LOCAL (LIBRE)  6%----------------------------------------------

Start time: 2025-04-22 11:00:13.185503 UTC
Evaluación 1 -> 2025-04-22 11:01:09.758732 UTC
Evaluación 2 -> 2025-04-22 11:01:30.855895 UTC
Evaluación 3 -> 2025-04-22 11:01:52.711228 UTC
Evaluación 4 -> 2025-04-22 11:02:15.421896 UTC
Evaluación 5 -> 2025-04-22 11:02:35.513861 UTC
Evaluación 6 -> 2025-04-22 11:02:55.895637 UTC
Evaluación 7 -> 2025-04-22 11:03:15.841238 UTC
Evaluación 8 -> 2025-04-22 11:03:41.581108 UTC
Evaluación 9 -> 2025-04-22 11:04:06.823792 UTC
Evaluación 10 -> 2025-04-22 11:04:27.980935 UTC
Evaluación 11 -> 2025-04-22 11:04:48.835466 UTC
Evaluación 12 -> 2025-04-22 11:05:10.306224 UTC
Evaluación 13 -> 2025-04-22 11:05:33.516172 UTC
Evaluación 14 -> 2025-04-22 11:05:58.013728 UTC
Evaluación 15 -> 2025-04-22 11:06:16.559924 UTC
Evaluación 16 -> 2025-04-22 11:06:41.404517 UTC
Evaluación 17 -> 2025-04-22 11:07:00.900764 UTC
Evaluación 18 -> 2025-04-22 11:07:23.496943 UTC
Evaluación 19 -> 2025-04-22 11:07:44.551214 UTC
Evaluación 20 -> 2025-04-22 11:08:05.694729 UTC
Evaluación 21 -> 2025-04-22 11:08:25.499553 UTC
Evaluación 22 -> 2025-04-22 11:08:45.374636 UTC
Evaluación 23 -> 2025-04-22 11:09:08.065432 UTC
Evaluación 24 -> 2025-04-22 11:09:30.385290 UTC
Evaluación 25 -> 2025-04-22 11:09:48.474880 UTC
Evaluación 26 -> 2025-04-22 11:10:10.729561 UTC
Evaluación 27 -> 2025-04-22 11:10:33.237653 UTC
Evaluación 28 -> 2025-04-22 11:10:52.499045 UTC
Evaluación 29 -> 2025-04-22 11:11:12.071671 UTC
Evaluación 30 -> 2025-04-22 11:11:32.258415 UTC
Evaluación 31 -> 2025-04-22 11:11:51.315147 UTC
Evaluación 32 -> 2025-04-22 11:12:11.240111 UTC
Evaluación 33 -> 2025-04-22 11:12:35.465784 UTC
Evaluación 34 -> 2025-04-22 11:12:55.024348 UTC
Evaluación 35 -> 2025-04-22 11:13:15.716179 UTC
Evaluación 36 -> 2025-04-22 11:13:36.851163 UTC
Evaluación 37 -> 2025-04-22 11:13:57.158676 UTC
Evaluación 38 -> 2025-04-22 11:14:14.520791 UTC
Evaluación 39 -> 2025-04-22 11:14:32.815040 UTC
Evaluación 40 -> 2025-04-22 11:14:51.420505 UTC
Evaluación 41 -> 2025-04-22 11:15:12.385468 UTC
Evaluación 42 -> 2025-04-22 11:15:33.241574 UTC
Evaluación 43 -> 2025-04-22 11:15:55.479836 UTC
Evaluación 44 -> 2025-04-22 11:16:14.248397 UTC
Evaluación 45 -> 2025-04-22 11:16:34.542346 UTC
Evaluación 46 -> 2025-04-22 11:16:55.078945 UTC
Evaluación 47 -> 2025-04-22 11:17:15.405643 UTC
Evaluación 48 -> 2025-04-22 11:17:33.845241 UTC
Evaluación 49 -> 2025-04-22 11:17:52.559158 UTC
Evaluación 50 -> 2025-04-22 11:18:09.465404 UTC
Evaluación 51 -> 2025-04-22 11:18:31.784008 UTC
Evaluación 52 -> 2025-04-22 11:18:51.640855 UTC
Evaluación 53 -> 2025-04-22 11:19:12.457731 UTC
Evaluación 54 -> 2025-04-22 11:19:31.122310 UTC
Evaluación 55 -> 2025-04-22 11:19:51.122745 UTC
Evaluación 56 -> 2025-04-22 11:20:10.217984 UTC
Evaluación 57 -> 2025-04-22 11:20:29.862534 UTC
Evaluación 58 -> 2025-04-22 11:20:51.347826 UTC
Evaluación 59 -> 2025-04-22 11:21:14.163491 UTC
Evaluación 60 -> 2025-04-22 11:21:33.044296 UTC
Evaluación 61 -> 2025-04-22 11:21:52.037366 UTC
Evaluación 62 -> 2025-04-22 11:22:09.088953 UTC
Evaluación 63 -> 2025-04-22 11:22:28.385619 UTC
Evaluación 64 -> 2025-04-22 11:22:47.125084 UTC
Evaluación 65 -> 2025-04-22 11:23:10.564319 UTC
Evaluación 66 -> 2025-04-22 11:23:29.250868 UTC
Evaluación 67 -> 2025-04-22 11:23:49.112537 UTC
Evaluación 68 -> 2025-04-22 11:24:08.749379 UTC
Evaluación 69 -> 2025-04-22 11:24:29.693277 UTC
Evaluación 70 -> 2025-04-22 11:24:49.555660 UTC
Evaluación 71 -> 2025-04-22 11:25:07.680499 UTC
Evaluación 72 -> 2025-04-22 11:25:26.978264 UTC
Evaluación 73 -> 2025-04-22 11:25:51.189279 UTC
Evaluación 74 -> 2025-04-22 11:26:13.931208 UTC
Evaluación 75 -> 2025-04-22 11:26:36.678223 UTC
Evaluación 76 -> 2025-04-22 11:27:01.004732 UTC
Evaluación 77 -> 2025-04-22 11:27:22.472667 UTC
Evaluación 78 -> 2025-04-22 11:27:42.664894 UTC
Evaluación 79 -> 2025-04-22 11:28:02.388276 UTC
Evaluación 80 -> 2025-04-22 11:28:20.417968 UTC
Evaluación 81 -> 2025-04-22 11:28:40.418523 UTC
Evaluación 82 -> 2025-04-22 11:29:00.204762 UTC
Evaluación 83 -> 2025-04-22 11:29:21.348071 UTC
Evaluación 84 -> 2025-04-22 11:29:38.487949 UTC
Evaluación 85 -> 2025-04-22 11:29:56.744585 UTC
Evaluación 86 -> 2025-04-22 11:30:20.497634 UTC
Evaluación 87 -> 2025-04-22 11:30:43.878386 UTC
Evaluación 88 -> 2025-04-22 11:31:03.788944 UTC
Evaluación 89 -> 2025-04-22 11:31:25.648099 UTC
Evaluación 90 -> 2025-04-22 11:31:44.103378 UTC
Evaluación 91 -> 2025-04-22 11:32:03.067960 UTC
Evaluación 92 -> 2025-04-22 11:32:23.376435 UTC
Evaluación 93 -> 2025-04-22 11:32:40.292186 UTC
Evaluación 94 -> 2025-04-22 11:32:59.801329 UTC
Evaluación 95 -> 2025-04-22 11:33:20.682547 UTC
Evaluación 96 -> 2025-04-22 11:33:40.719367 UTC
Evaluación 97 -> 2025-04-22 11:33:57.710305 UTC
Evaluación 98 -> 2025-04-22 11:34:15.879949 UTC
Evaluación 99 -> 2025-04-22 11:34:36.248412 UTC
Evaluación 100 -> 2025-04-22 11:34:54.337667 UTC


---------------------------------------RPS  mobilenet  BUSQUEDA LOCAL (LIBRE)  87%----------------------------------------------

Start time: 2025-04-22 11:35:14.333143 UTC
Evaluación 1 -> 2025-04-22 11:38:03.828577 UTC
Evaluación 2 -> 2025-04-22 11:40:51.876416 UTC
Evaluación 3 -> 2025-04-22 11:43:36.833754 UTC
Evaluación 4 -> 2025-04-22 11:46:22.644799 UTC
Evaluación 5 -> 2025-04-22 11:49:08.637384 UTC
