

---------------------------------------RPS  mobilenet  BUSQUEDA LOCAL (LIBRE)  6%----------------------------------------------

Start time: 2025-04-22 11:00:13.185709 UTC
Evaluación 1 -> 2025-04-22 11:01:09.760470 UTC
Evaluación 2 -> 2025-04-22 11:01:30.842427 UTC
Evaluación 3 -> 2025-04-22 11:01:54.059874 UTC
Evaluación 4 -> 2025-04-22 11:02:14.522053 UTC
Evaluación 5 -> 2025-04-22 11:02:35.702373 UTC
Evaluación 6 -> 2025-04-22 11:02:56.379907 UTC
Evaluación 7 -> 2025-04-22 11:03:17.420891 UTC
Evaluación 8 -> 2025-04-22 11:03:41.427932 UTC
Evaluación 9 -> 2025-04-22 11:04:07.829218 UTC
Evaluación 10 -> 2025-04-22 11:04:32.617183 UTC
Evaluación 11 -> 2025-04-22 11:04:50.319428 UTC
Evaluación 12 -> 2025-04-22 11:05:09.731687 UTC
Evaluación 13 -> 2025-04-22 11:05:27.582112 UTC
Evaluación 14 -> 2025-04-22 11:05:46.496781 UTC
Evaluación 15 -> 2025-04-22 11:06:08.281118 UTC
Evaluación 16 -> 2025-04-22 11:06:24.175799 UTC
Evaluación 17 -> 2025-04-22 11:06:42.969105 UTC
Evaluación 18 -> 2025-04-22 11:07:01.425592 UTC
Evaluación 19 -> 2025-04-22 11:07:24.438381 UTC
Evaluación 20 -> 2025-04-22 11:07:43.559730 UTC
Evaluación 21 -> 2025-04-22 11:08:00.974245 UTC
Evaluación 22 -> 2025-04-22 11:08:19.911516 UTC
Evaluación 23 -> 2025-04-22 11:08:39.190763 UTC
Evaluación 24 -> 2025-04-22 11:08:56.026071 UTC
Evaluación 25 -> 2025-04-22 11:09:15.572972 UTC
Evaluación 26 -> 2025-04-22 11:09:32.679227 UTC
Evaluación 27 -> 2025-04-22 11:09:51.345676 UTC
Evaluación 28 -> 2025-04-22 11:10:10.013834 UTC
Evaluación 29 -> 2025-04-22 11:10:29.300534 UTC
Evaluación 30 -> 2025-04-22 11:10:48.643014 UTC
Evaluación 31 -> 2025-04-22 11:11:07.345496 UTC
Evaluación 32 -> 2025-04-22 11:11:23.821145 UTC
Evaluación 33 -> 2025-04-22 11:11:44.549165 UTC
Evaluación 34 -> 2025-04-22 11:12:03.497879 UTC
Evaluación 35 -> 2025-04-22 11:12:21.971411 UTC
Evaluación 36 -> 2025-04-22 11:12:41.545564 UTC
Evaluación 37 -> 2025-04-22 11:13:01.677552 UTC
Evaluación 38 -> 2025-04-22 11:13:18.971023 UTC
Evaluación 39 -> 2025-04-22 11:13:36.297334 UTC
Evaluación 40 -> 2025-04-22 11:13:53.784421 UTC
Evaluación 41 -> 2025-04-22 11:14:11.198576 UTC
Evaluación 42 -> 2025-04-22 11:14:28.222455 UTC
Evaluación 43 -> 2025-04-22 11:14:45.865925 UTC
Evaluación 44 -> 2025-04-22 11:15:02.503619 UTC
Evaluación 45 -> 2025-04-22 11:15:20.493925 UTC
Evaluación 46 -> 2025-04-22 11:15:41.396242 UTC
Evaluación 47 -> 2025-04-22 11:16:03.040810 UTC
Evaluación 48 -> 2025-04-22 11:16:20.889270 UTC
Evaluación 49 -> 2025-04-22 11:16:40.580909 UTC
Evaluación 50 -> 2025-04-22 11:16:59.223499 UTC
Evaluación 51 -> 2025-04-22 11:17:22.504387 UTC
Evaluación 52 -> 2025-04-22 11:17:41.424816 UTC
Evaluación 53 -> 2025-04-22 11:17:59.668296 UTC
Evaluación 54 -> 2025-04-22 11:18:17.347392 UTC
Evaluación 55 -> 2025-04-22 11:18:36.319432 UTC
Evaluación 56 -> 2025-04-22 11:18:55.078664 UTC
Evaluación 57 -> 2025-04-22 11:19:14.707845 UTC
Evaluación 58 -> 2025-04-22 11:19:36.016916 UTC
Evaluación 59 -> 2025-04-22 11:20:00.143297 UTC
Evaluación 60 -> 2025-04-22 11:20:19.090806 UTC
Evaluación 61 -> 2025-04-22 11:20:39.143518 UTC
Evaluación 62 -> 2025-04-22 11:20:57.308733 UTC
Evaluación 63 -> 2025-04-22 11:21:16.634644 UTC
Evaluación 64 -> 2025-04-22 11:21:37.852527 UTC
Evaluación 65 -> 2025-04-22 11:21:55.408660 UTC
Evaluación 66 -> 2025-04-22 11:22:16.804197 UTC
Evaluación 67 -> 2025-04-22 11:22:36.517285 UTC
Evaluación 68 -> 2025-04-22 11:22:57.919932 UTC
Evaluación 69 -> 2025-04-22 11:23:16.010247 UTC
Evaluación 70 -> 2025-04-22 11:23:36.903718 UTC
Evaluación 71 -> 2025-04-22 11:23:55.223242 UTC
Evaluación 72 -> 2025-04-22 11:24:13.933251 UTC
Evaluación 73 -> 2025-04-22 11:24:35.604250 UTC
Evaluación 74 -> 2025-04-22 11:25:01.288126 UTC
Evaluación 75 -> 2025-04-22 11:25:20.247574 UTC
Evaluación 76 -> 2025-04-22 11:25:44.644501 UTC
Evaluación 77 -> 2025-04-22 11:26:05.189345 UTC
Evaluación 78 -> 2025-04-22 11:26:26.587196 UTC
Evaluación 79 -> 2025-04-22 11:26:49.495094 UTC
Evaluación 80 -> 2025-04-22 11:27:12.883357 UTC
Evaluación 81 -> 2025-04-22 11:27:32.551935 UTC
Evaluación 82 -> 2025-04-22 11:27:52.095818 UTC
Evaluación 83 -> 2025-04-22 11:28:11.478460 UTC
Evaluación 84 -> 2025-04-22 11:28:30.009997 UTC
Evaluación 85 -> 2025-04-22 11:28:49.700862 UTC
Evaluación 86 -> 2025-04-22 11:29:09.428297 UTC
Evaluación 87 -> 2025-04-22 11:29:28.954785 UTC
Evaluación 88 -> 2025-04-22 11:29:50.217746 UTC
Evaluación 89 -> 2025-04-22 11:30:07.980919 UTC
Evaluación 90 -> 2025-04-22 11:30:28.140084 UTC
Evaluación 91 -> 2025-04-22 11:30:45.138961 UTC
Evaluación 92 -> 2025-04-22 11:31:05.991232 UTC
Evaluación 93 -> 2025-04-22 11:31:24.409652 UTC
Evaluación 94 -> 2025-04-22 11:31:42.448156 UTC
Evaluación 95 -> 2025-04-22 11:32:03.030019 UTC
Evaluación 96 -> 2025-04-22 11:32:22.962648 UTC
Evaluación 97 -> 2025-04-22 11:32:41.835180 UTC
Evaluación 98 -> 2025-04-22 11:33:03.162844 UTC
Evaluación 99 -> 2025-04-22 11:33:22.114303 UTC
Evaluación 100 -> 2025-04-22 11:33:42.089007 UTC


---------------------------------------RPS  mobilenet  BUSQUEDA LOCAL (LIBRE)  37%----------------------------------------------

Start time: 2025-04-22 11:34:00.993566 UTC
Evaluación 1 -> 2025-04-22 11:35:12.254321 UTC
Evaluación 2 -> 2025-04-22 11:36:22.615210 UTC
Evaluación 3 -> 2025-04-22 11:37:37.511084 UTC
Evaluación 4 -> 2025-04-22 11:38:46.038267 UTC
Evaluación 5 -> 2025-04-22 11:39:59.956430 UTC
Evaluación 6 -> 2025-04-22 11:41:10.810248 UTC
Evaluación 7 -> 2025-04-22 11:42:21.606325 UTC
Evaluación 8 -> 2025-04-22 11:43:39.277087 UTC
Evaluación 9 -> 2025-04-22 11:44:50.920388 UTC
Evaluación 10 -> 2025-04-22 11:46:02.419954 UTC
Evaluación 11 -> 2025-04-22 11:47:15.794401 UTC
Evaluación 12 -> 2025-04-22 11:48:24.336024 UTC
Evaluación 13 -> 2025-04-22 11:49:35.600738 UTC
Evaluación 14 -> 2025-04-22 11:50:48.090451 UTC
Evaluación 15 -> 2025-04-22 11:51:56.859651 UTC
Evaluación 16 -> 2025-04-22 11:53:07.483214 UTC
Evaluación 17 -> 2025-04-22 11:54:18.130332 UTC
Evaluación 18 -> 2025-04-22 11:55:28.452806 UTC
Evaluación 19 -> 2025-04-22 11:56:38.829948 UTC
Evaluación 20 -> 2025-04-22 11:57:49.681073 UTC
Evaluación 21 -> 2025-04-22 11:59:01.709405 UTC
Evaluación 22 -> 2025-04-22 12:00:12.215201 UTC
Evaluación 23 -> 2025-04-22 12:01:24.542321 UTC
Evaluación 24 -> 2025-04-22 12:02:35.784393 UTC
Evaluación 25 -> 2025-04-22 12:03:47.385956 UTC
