

---------------------------------------RPS  mobilenet  GENETICO2  10%----------------------------------------------

Start time: 2025-04-21 09:24:53.841699 UTC
Start time: 2025-04-21 10:16:35.133703 UTC
Evaluación 1 -> 2025-04-21 10:17:22.361040 UTC
Evaluación 2 -> 2025-04-21 10:18:08.333086 UTC
Evaluación 3 -> 2025-04-21 10:18:54.783104 UTC
Evaluación 4 -> 2025-04-21 10:19:41.199836 UTC
Evaluación 5 -> 2025-04-21 10:20:27.465984 UTC
Evaluación 6 -> 2025-04-21 10:21:14.282990 UTC
Evaluación 7 -> 2025-04-21 10:21:59.828353 UTC
Evaluación 8 -> 2025-04-21 10:22:47.187147 UTC
Evaluación 9 -> 2025-04-21 10:23:33.477537 UTC
Evaluación 10 -> 2025-04-21 10:24:20.373731 UTC
Evaluación 11 -> 2025-04-21 10:25:18.222950 UTC
Evaluación 12 -> 2025-04-21 10:26:12.800696 UTC
Evaluación 13 -> 2025-04-21 10:26:46.482603 UTC
Evaluación 14 -> 2025-04-21 10:27:15.932176 UTC
Evaluación 15 -> 2025-04-21 10:28:20.733322 UTC
Evaluación 16 -> 2025-04-21 10:29:33.841413 UTC
Evaluación 17 -> 2025-04-21 10:30:36.371731 UTC
Evaluación 18 -> 2025-04-21 10:31:40.232731 UTC
Evaluación 19 -> 2025-04-21 10:32:39.768183 UTC
Evaluación 20 -> 2025-04-21 10:33:37.912706 UTC
Evaluación 21 -> 2025-04-21 10:34:30.361241 UTC
Evaluación 22 -> 2025-04-21 10:35:23.159601 UTC
Evaluación 23 -> 2025-04-21 10:36:28.907108 UTC
Evaluación 24 -> 2025-04-21 10:37:34.139021 UTC
Evaluación 25 -> 2025-04-21 10:38:16.087353 UTC
Evaluación 26 -> 2025-04-21 10:38:57.820044 UTC
Evaluación 27 -> 2025-04-21 10:39:38.231148 UTC
Evaluación 28 -> 2025-04-21 10:40:20.098063 UTC
Evaluación 29 -> 2025-04-21 10:41:22.724669 UTC
Evaluación 30 -> 2025-04-21 10:42:24.396154 UTC
Evaluación 31 -> 2025-04-21 10:43:14.527597 UTC
Evaluación 32 -> 2025-04-21 10:44:05.341942 UTC
Evaluación 33 -> 2025-04-21 10:45:01.729943 UTC
Evaluación 34 -> 2025-04-21 10:45:57.551810 UTC
Evaluación 35 -> 2025-04-21 10:47:12.545350 UTC
Evaluación 36 -> 2025-04-21 10:48:25.532759 UTC
Evaluación 37 -> 2025-04-21 10:49:23.560405 UTC
Evaluación 38 -> 2025-04-21 10:50:20.823631 UTC
Evaluación 39 -> 2025-04-21 10:51:02.723355 UTC
Evaluación 40 -> 2025-04-21 10:51:45.146815 UTC
Evaluación 41 -> 2025-04-21 10:52:26.020380 UTC
Evaluación 42 -> 2025-04-21 10:53:07.615234 UTC
Evaluación 43 -> 2025-04-21 10:54:09.463846 UTC
Evaluación 44 -> 2025-04-21 10:55:11.147093 UTC
Evaluación 45 -> 2025-04-21 10:56:16.022326 UTC
Evaluación 46 -> 2025-04-21 10:57:22.175594 UTC
Evaluación 47 -> 2025-04-21 10:58:14.519845 UTC
Evaluación 48 -> 2025-04-21 10:59:05.211375 UTC
Evaluación 49 -> 2025-04-21 11:00:05.004620 UTC
Evaluación 50 -> 2025-04-21 11:01:05.910287 UTC
Evaluación 51 -> 2025-04-21 11:01:57.134064 UTC
Evaluación 52 -> 2025-04-21 11:02:57.971051 UTC
Evaluación 53 -> 2025-04-21 11:04:35.117966 UTC
Evaluación 54 -> 2025-04-21 11:06:09.716737 UTC
Evaluación 55 -> 2025-04-21 11:06:53.905708 UTC
Evaluación 56 -> 2025-04-21 11:07:36.265309 UTC
Evaluación 57 -> 2025-04-21 11:08:32.529077 UTC
Evaluación 58 -> 2025-04-21 11:09:28.888520 UTC
Evaluación 59 -> 2025-04-21 11:10:19.052886 UTC
Evaluación 60 -> 2025-04-21 11:11:10.780089 UTC
Evaluación 61 -> 2025-04-21 11:12:40.068051 UTC
Evaluación 62 -> 2025-04-21 11:14:10.078367 UTC
Evaluación 63 -> 2025-04-21 11:14:54.743683 UTC
Evaluación 64 -> 2025-04-21 11:15:39.240607 UTC
Evaluación 65 -> 2025-04-21 11:16:27.863127 UTC
Evaluación 66 -> 2025-04-21 11:17:17.373728 UTC
Evaluación 67 -> 2025-04-21 11:19:16.801735 UTC
Evaluación 68 -> 2025-04-21 11:21:15.143622 UTC
Evaluación 69 -> 2025-04-21 11:21:48.609380 UTC
Evaluación 70 -> 2025-04-21 11:22:21.672145 UTC
Evaluación 71 -> 2025-04-21 11:23:31.464230 UTC
Evaluación 72 -> 2025-04-21 11:24:41.594906 UTC
Evaluación 73 -> 2025-04-21 11:25:32.689392 UTC
Evaluación 74 -> 2025-04-21 11:26:23.427792 UTC
Evaluación 75 -> 2025-04-21 11:27:03.767727 UTC
Evaluación 76 -> 2025-04-21 11:27:44.025112 UTC
Evaluación 77 -> 2025-04-21 11:28:30.541407 UTC
Evaluación 78 -> 2025-04-21 11:29:18.705313 UTC
Evaluación 79 -> 2025-04-21 11:31:11.535643 UTC
Evaluación 80 -> 2025-04-21 11:33:00.096889 UTC
Evaluación 81 -> 2025-04-21 11:34:51.249294 UTC
Evaluación 82 -> 2025-04-21 11:36:47.825065 UTC
Evaluación 83 -> 2025-04-21 11:38:12.657460 UTC
Evaluación 84 -> 2025-04-21 11:39:47.662532 UTC
Evaluación 85 -> 2025-04-21 11:41:13.983839 UTC
Evaluación 86 -> 2025-04-21 11:42:36.464310 UTC
Evaluación 87 -> 2025-04-21 11:44:56.210926 UTC
Evaluación 88 -> 2025-04-21 11:47:13.278551 UTC
Evaluación 89 -> 2025-04-21 11:47:54.594045 UTC
Evaluación 90 -> 2025-04-21 11:48:36.870123 UTC
Evaluación 91 -> 2025-04-21 11:51:00.949091 UTC
Evaluación 92 -> 2025-04-21 11:53:20.483709 UTC
Evaluación 93 -> 2025-04-21 11:53:56.502961 UTC
Evaluación 94 -> 2025-04-21 11:54:32.071525 UTC
Evaluación 95 -> 2025-04-21 11:56:46.915228 UTC
Evaluación 96 -> 2025-04-21 11:58:50.012889 UTC
Evaluación 97 -> 2025-04-21 11:59:46.491188 UTC
Evaluación 98 -> 2025-04-21 12:00:36.980344 UTC
Evaluación 99 -> 2025-04-21 12:02:18.290403 UTC
Evaluación 100 -> 2025-04-21 12:03:57.275445 UTC


---------------------------------------RPS  mobilenet  GENETICO2  50%----------------------------------------------

Start time: 2025-04-21 12:05:17.181078 UTC
Evaluación 1 -> 2025-04-21 12:06:43.704154 UTC
Evaluación 2 -> 2025-04-21 12:08:08.703566 UTC
Evaluación 3 -> 2025-04-21 12:09:32.548625 UTC
Evaluación 4 -> 2025-04-21 12:10:58.823138 UTC
Evaluación 5 -> 2025-04-21 12:12:23.260399 UTC
Evaluación 6 -> 2025-04-21 12:13:48.356458 UTC
Evaluación 7 -> 2025-04-21 12:15:14.925822 UTC
Evaluación 8 -> 2025-04-21 12:17:03.745812 UTC
Evaluación 9 -> 2025-04-21 12:18:31.786891 UTC
Evaluación 10 -> 2025-04-21 12:19:58.277268 UTC
Evaluación 11 -> 2025-04-21 12:21:28.717549 UTC
Evaluación 12 -> 2025-04-21 12:23:07.206400 UTC
Evaluación 13 -> 2025-04-21 12:25:14.939130 UTC
Evaluación 14 -> 2025-04-21 12:27:01.874807 UTC
Evaluación 15 -> 2025-04-21 12:28:18.859959 UTC
Evaluación 16 -> 2025-04-21 12:29:37.682006 UTC
Evaluación 17 -> 2025-04-21 12:30:32.377967 UTC
Evaluación 18 -> 2025-04-21 12:31:24.676795 UTC
Evaluación 19 -> 2025-04-21 12:32:12.395614 UTC
Evaluación 20 -> 2025-04-21 12:33:00.984672 UTC
Evaluación 21 -> 2025-04-21 12:34:20.394602 UTC
