Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Airplane,Porcentaje Automobile,Porcentaje Bird,Porcentaje Cat,Porcentaje Deer,Porcentaje Dog,Porcentaje Frog,Porcentaje Horse,Porcentaje Ship,Porcentaje Truck
MA-F,0.1,4:38:50,0.7916,0.7903,0.7911,0.7907,100,0.05,0.0976,0.1002,0.1004,0.1016,0.0998,0.098,0.0914,0.1,0.1072,0.1038
MA-F,0.25,10:24:49,0.792379,0.792007,0.791198,0.791602,100,0.33,0.1,0.0931,0.1022,0.0966,0.1047,0.0967,0.1,0.1042,0.103,0.0994
MA-F,0.5,19:43:06,0.799168,0.798491,0.797607,0.798049,100,0.62,0.0996,0.1001,0.0972,0.0978,0.0999,0.0992,0.1011,0.1015,0.1036,0.1
MA-F,0.75,20:13:52,0.790347,0.789556,0.789226,0.789391,100,0.87,0.1002,0.0998,0.0981,0.1015,0.1009,0.0989,0.0997,0.0999,0.1009,0.1001
