Algoritmo,Porcentaje Inicial,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Drawings,Porcentaje Engraving,Porcentaje Iconography,Porcentaje Painting,Porcentaje Sculpture,Duracion
memetico,0.25,0.9189399999999999,0.91626,0.9189399999999999,0.9167400000000001,100.0,0.25,0.14364,0.10084,0.26962,0.25792000000000004,0.22798,0 days 03:19:09.600000
memetico,0.5,0.92734,0.92612,0.92734,0.9262600000000001,100.0,0.5,0.14776,0.09886,0.26674,0.26336,0.22324000000000002,0 days 06:26:18.200000
memetico (libre),0.25,0.9224399999999999,0.92056,0.9224399999999999,0.9209400000000001,100.0,0.41352,0.14386000000000002,0.09963999999999999,0.26666,0.26478,0.22504,0 days 03:44:48.400000
memetico (libre),0.5,0.9310600000000001,0.9300200000000001,0.9310600000000001,0.9301400000000001,100.0,0.68692,0.14318,0.0979,0.26786,0.26552,0.22555999999999998,0 days 06:43:54.600000
