Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Drawings,Porcentaje Engraving,Porcentaje Iconography,Porcentaje Painting,Porcentaje Sculpture
MEM,0.25,3:25:25,0.9206,0.9173,0.9206,0.9177,100,0.25,0.1456,0.1073,0.2694,0.2637,0.214
MEM,0.5,6:43:17,0.9276,0.9254,0.9276,0.9261,100,0.5,0.1456,0.0982,0.2725,0.2637,0.2199
MEM-F,0.25,2:59:22,0.9194,0.9184,0.9194,0.918,100,0.2972,0.1364,0.1003,0.272,0.2703,0.221
MEM-F,0.5,7:33:36,0.9299,0.929,0.9299,0.9292,100,0.7913,0.1437,0.0985,0.2642,0.2665,0.227
