

---------------------------------------RPS  mobilenet  GENETICO3  10%----------------------------------------------

Start time: 2025-04-09 07:14:36.900781 UTC
Evaluación 1 -> 2025-04-09 07:15:28.203535 UTC
Evaluación 2 -> 2025-04-09 07:15:59.632092 UTC
Evaluación 3 -> 2025-04-09 07:16:37.127667 UTC
Evaluación 4 -> 2025-04-09 07:17:12.233458 UTC
Evaluación 5 -> 2025-04-09 07:17:46.628314 UTC
Evaluación 6 -> 2025-04-09 07:18:22.466130 UTC
Evaluación 7 -> 2025-04-09 07:19:00.441550 UTC
Evaluación 8 -> 2025-04-09 07:19:39.592079 UTC
Evaluación 9 -> 2025-04-09 07:20:14.678892 UTC
Evaluación 10 -> 2025-04-09 07:20:47.299517 UTC
Evaluación 11 -> 2025-04-09 07:21:19.302030 UTC
Evaluación 12 -> 2025-04-09 07:22:00.384254 UTC
