Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
100%,1.0,0:03:26,0.8011,0.8261,0.8011,0.7929,1,1.0,0.3333,0.3333,0.3333
LR-F,0.06,0:26:22,0.8844,0.8948,0.8844,0.8789,100,0.0623,0.3503,0.3567,0.293
RS,0.1,0:41:16,0.8602,0.8659,0.8602,0.859,100,0.1,0.381,0.3254,0.2937
RS,0.25,1:24:13,0.8253,0.8281,0.8253,0.8177,100,0.25,0.3095,0.3222,0.3683
RS,0.5,2:36:04,0.8253,0.8403,0.8253,0.8205,100,0.5,0.3254,0.3429,0.3317
RS,0.75,3:08:29,0.8253,0.844,0.8253,0.8202,100,0.75,0.3265,0.3386,0.3349
LR,0.1,0:33:19,0.8414,0.8429,0.8414,0.8363,100,0.1,0.3452,0.3611,0.2937
LR,0.25,1:08:18,0.8575,0.8741,0.8575,0.8479,100,0.25,0.3651,0.3238,0.3111
LR,0.5,2:10:08,0.828,0.8418,0.828,0.82,100,0.5,0.3151,0.3397,0.3452
LR,0.75,3:11:45,0.8414,0.8451,0.8414,0.836,100,0.75,0.3333,0.328,0.3386
GEN,0.1,0:33:04,0.8763,0.88,0.8763,0.8734,100,0.1,0.369,0.3492,0.2817
GEN,0.25,1:10:30,0.8575,0.8751,0.8575,0.8482,100,0.25,0.354,0.3317,0.3143
GEN,0.5,2:11:26,0.8306,0.8503,0.8306,0.823,100,0.5,0.3357,0.323,0.3413
GEN,0.75,3:11:03,0.8253,0.8323,0.8253,0.8215,100,0.75,0.3466,0.3339,0.3196
MEM,0.1,0:32:59,0.8817,0.8817,0.8817,0.8804,100,0.1,0.373,0.3571,0.2698
MEM,0.25,1:10:39,0.8414,0.8671,0.8414,0.8274,100,0.25,0.3333,0.354,0.3127
MEM,0.5,2:09:27,0.8441,0.8509,0.8441,0.8385,100,0.5,0.3524,0.3222,0.3254
MEM,0.75,3:11:37,0.8306,0.8467,0.8306,0.8257,100,0.75,0.3307,0.3275,0.3418
WC,0.1,0:32:59,0.8871,0.8885,0.8871,0.8847,100,0.1,0.3373,0.3571,0.3056
WC,0.25,1:08:45,0.879,0.8903,0.879,0.8736,100,0.25,0.3556,0.3333,0.3111
WC,0.5,2:11:00,0.836,0.8514,0.836,0.8308,100,0.5,0.3302,0.3294,0.3405
WC,0.75,3:12:28,0.8306,0.8446,0.8306,0.8235,100,0.75,0.3233,0.336,0.3407
PR,0.1,0:33:50,0.871,0.8707,0.871,0.8684,100,0.1,0.3651,0.3571,0.2778
PR,0.25,1:09:38,0.836,0.845,0.836,0.8293,100,0.25,0.346,0.346,0.3079
PR,0.5,2:09:30,0.8333,0.8477,0.8333,0.8267,100,0.5,0.3444,0.3397,0.3159
PR,0.75,3:03:17,0.8333,0.8373,0.8333,0.8285,100,0.75,0.336,0.3243,0.3397
