Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
100%,1.0,0:03:07,0.7849,0.8117,0.7849,0.7779,1,1.0,0.3333,0.3333,0.3333
LR-F,0.06,0:30:42,0.8199,0.8322,0.8199,0.8125,100,0.0655,0.4303,0.2545,0.3152
RS,0.1,0:36:01,0.8065,0.8239,0.8065,0.7937,100,0.1,0.3929,0.3135,0.2937
RS,0.25,1:13:36,0.8065,0.8219,0.8065,0.7975,100,0.25,0.3333,0.319,0.3476
RS,0.5,2:17:24,0.8038,0.8229,0.8038,0.7953,100,0.5,0.3413,0.3365,0.3222
RS,0.75,3:19:17,0.8172,0.8356,0.8172,0.8107,100,0.75,0.3333,0.3328,0.3339
LR,0.1,0:36:38,0.8145,0.8129,0.8145,0.812,100,0.1,0.4206,0.2937,0.2857
LR,0.25,1:12:48,0.8091,0.8263,0.8091,0.8042,100,0.25,0.3429,0.3175,0.3397
LR,0.5,2:17:25,0.8065,0.8366,0.8065,0.8005,100,0.5,0.3302,0.3429,0.327
LR,0.75,3:19:55,0.8226,0.8474,0.8226,0.8146,100,0.75,0.3333,0.3286,0.3381
GEN,0.1,0:36:55,0.8199,0.8265,0.8199,0.8116,100,0.1,0.3929,0.254,0.3532
GEN,0.25,1:42:36,0.7984,0.8228,0.7984,0.7923,100,0.25,0.3317,0.3254,0.3429
GEN,0.5,3:53:27,0.8172,0.8329,0.8172,0.8123,100,0.5,0.3262,0.3294,0.3444
GEN,0.75,4:44:00,0.8253,0.8431,0.8253,0.8206,100,0.75,0.3339,0.3328,0.3333
MEM,0.1,0:52:48,0.8226,0.8389,0.8226,0.8111,100,0.1,0.3373,0.2857,0.377
MEM,0.25,1:21:02,0.8253,0.8332,0.8253,0.8191,100,0.25,0.3444,0.3016,0.354
MEM,0.5,2:29:27,0.8038,0.8242,0.8038,0.7977,100,0.5,0.3341,0.3278,0.3381
MEM,0.75,3:35:40,0.8199,0.8474,0.8199,0.81,100,0.75,0.3354,0.3344,0.3302
WC,0.1,0:38:41,0.8091,0.8258,0.8091,0.7955,100,0.1,0.3492,0.2698,0.381
WC,0.25,1:18:47,0.8038,0.8215,0.8038,0.7958,100,0.25,0.3254,0.346,0.3286
WC,0.5,2:34:29,0.8172,0.8402,0.8172,0.8098,100,0.5,0.3063,0.3429,0.3508
WC,0.75,4:22:46,0.8172,0.8356,0.8172,0.8107,100,0.75,0.3333,0.3328,0.3339
PR,0.1,0:38:14,0.8199,0.8445,0.8199,0.8061,100,0.1,0.2897,0.3056,0.4048
PR,0.25,1:21:49,0.8145,0.8328,0.8145,0.8092,100,0.25,0.3238,0.3222,0.354
PR,0.5,2:33:50,0.8118,0.8314,0.8118,0.8008,100,0.5,0.3222,0.3317,0.346
PR,0.75,3:40:20,0.8199,0.8309,0.8199,0.8132,100,0.75,0.3376,0.3328,0.3296
