,Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
17,MA,0.75,0 days 03:34:52,0.8226,0.8412,0.8226,0.8183,100,0.75,0.3376,0.3275,0.3349
18,GA-WC,0.1,0 days 00:38:14,0.8414,0.8456,0.8414,0.8344,100,0.1,0.3452,0.2778,0.377
19,GA-WC,0.25,0 days 01:18:28,0.7984,0.8188,0.7984,0.7887,100,0.25,0.3286,0.3587,0.3127
20,GA-WC,0.5,0 days 02:33:19,0.8091,0.8404,0.8091,0.8044,100,0.5,0.3286,0.3468,0.3246
21,GA-WC,0.75,0 days 04:23:11,0.8226,0.8321,0.8226,0.816,100,0.75,0.336,0.3254,0.3386
22,GA-PR,0.1,0 days 00:37:46,0.8441,0.8451,0.8441,0.844,100,0.1,0.3611,0.3214,0.3175
23,GA-PR,0.25,0 days 01:21:06,0.7984,0.8188,0.7984,0.7887,100,0.25,0.3286,0.3587,0.3127
24,GA-PR,0.5,0 days 02:33:36,0.8011,0.826,0.8011,0.7926,100,0.5,0.327,0.3373,0.3357
25,GA-PR,0.75,0 days 03:36:41,0.8199,0.841,0.8199,0.8152,100,0.75,0.3317,0.337,0.3312
0,100%,1.0,0 days 00:03:19,0.7742,0.8201,0.7742,0.7626,1,1.0,0.3333,0.3333,0.3333
1,LS-F,0.06,0 days 00:25:45,0.8038,0.8008,0.8038,0.797,100,0.071,0.4078,0.2402,0.352
2,RS,0.1,0 days 00:39:05,0.7849,0.8111,0.7849,0.7685,100,0.1,0.3135,0.3333,0.3532
3,RS,0.25,0 days 01:20:07,0.7957,0.8127,0.7957,0.7865,100,0.25,0.327,0.3413,0.3317
4,RS,0.5,0 days 02:31:31,0.8038,0.8271,0.8038,0.7996,100,0.5,0.3381,0.3278,0.3341
5,RS,0.75,0 days 02:51:48,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
6,LS,0.1,0 days 00:30:53,0.7688,0.795,0.7688,0.7595,100,0.1,0.3135,0.3413,0.3452
7,LS,0.25,0 days 01:02:58,0.8199,0.8274,0.8199,0.813,100,0.25,0.3413,0.3143,0.3444
8,LS,0.5,0 days 01:58:47,0.7984,0.8171,0.7984,0.7929,100,0.5,0.3262,0.3317,0.3421
9,LS,0.75,0 days 02:51:56,0.8172,0.844,0.8172,0.8084,100,0.75,0.3349,0.3328,0.3323
10,GA,0.1,0 days 00:30:11,0.8011,0.8137,0.8011,0.7921,100,0.1,0.3492,0.3175,0.3333
11,GA,0.25,0 days 01:03:03,0.7957,0.8233,0.7957,0.7845,100,0.25,0.3333,0.3127,0.354
12,GA,0.5,0 days 01:58:28,0.7984,0.8158,0.7984,0.7924,100,0.5,0.3484,0.3238,0.3278
13,GA,0.75,0 days 02:52:39,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
14,MA,0.1,0 days 00:30:11,0.7903,0.8099,0.7903,0.7755,100,0.1,0.3492,0.2937,0.3571
15,MA,0.25,0 days 01:02:39,0.8065,0.8193,0.8065,0.7971,100,0.25,0.3302,0.3222,0.3476
16,MA,0.5,0 days 01:59:43,0.8118,0.8298,0.8118,0.8058,100,0.5,0.346,0.3222,0.3317
17,MA,0.75,0 days 02:52:43,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
18,GA-WC,0.1,0 days 00:30:11,0.8172,0.8317,0.8172,0.8069,100,0.1,0.4008,0.2897,0.3095
19,GA-WC,0.25,0 days 01:02:45,0.8091,0.8269,0.8091,0.8013,100,0.25,0.3349,0.3476,0.3175
20,GA-WC,0.5,0 days 01:59:55,0.8065,0.8233,0.8065,0.8008,100,0.5,0.3325,0.3421,0.3254
21,GA-WC,0.75,0 days 02:53:24,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
22,GA-PR,0.1,0 days 00:30:36,0.793,0.8128,0.793,0.7791,100,0.1,0.3056,0.377,0.3175
23,GA-PR,0.25,0 days 01:02:25,0.8011,0.8132,0.8011,0.7938,100,0.25,0.3222,0.3286,0.3492
