Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
WC-F,0.1,0:48:16,0.8145,0.8219,0.8145,0.8098,100,0.2131,0.3594,0.3166,0.324
WC-F,0.25,0:54:23,0.8468,0.8471,0.8468,0.8448,100,0.0444,0.3393,0.3304,0.3304
WC-F,0.5,3:25:32,0.8226,0.8442,0.8226,0.8174,100,0.9532,0.3297,0.3381,0.3322
WC-F,0.75,3:40:07,0.8118,0.8326,0.8118,0.7996,100,0.75,0.3397,0.3354,0.3249
