,Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
0,genetico2,0.1,0 days 00:28:48,0.8978,0.8976,0.8978,0.8964,100,0.0853,0.3907,0.3302,0.2791
1,genetico2,0.25,0 days 01:00:23,0.8763,0.8784,0.8763,0.8722,100,0.1488,0.3627,0.3227,0.3147
2,genetico2,0.5,0 days 02:08:27,0.8306,0.8364,0.8306,0.8266,100,0.4937,0.3505,0.3223,0.3272
3,genetico2,0.75,0 days 02:56:44,0.8306,0.8425,0.8306,0.8235,100,0.9627,0.3364,0.3318,0.3318
0,genetico2,0.1,0 days 00:35:46,0.8199,0.8368,0.8199,0.807,100,0.1171,0.3458,0.2644,0.3898
1,genetico2,0.25,0 days 01:29:28,0.8145,0.8257,0.8145,0.8105,100,0.1798,0.3907,0.3135,0.2958
2,genetico2,0.5,0 days 02:23:33,0.8199,0.8354,0.8199,0.8154,100,0.9933,0.332,0.3348,0.3332
3,genetico2,0.75,0 days 02:44:26,0.8226,0.8423,0.8226,0.817,100,0.6,0.3175,0.3439,0.3386
0,genetico2,0.1,0 days 00:51:14,0.8226,0.8244,0.8226,0.8205,100,0.1274,0.3645,0.3084,0.3271
1,genetico2,0.25,0 days 01:47:22,0.8333,0.8436,0.8333,0.8283,100,0.471,0.3294,0.3404,0.3302
2,genetico2,0.5,0 days 02:46:42,0.8226,0.8346,0.8226,0.8155,100,0.531,0.3318,0.3416,0.3266
3,genetico2,0.75,0 days 03:14:51,0.8226,0.8352,0.8226,0.8179,100,0.5151,0.3351,0.3267,0.3382
0,genetico2,0.1,0 days 00:48:16,0.8145,0.8219,0.8145,0.8098,100,0.2131,0.3594,0.3166,0.324
1,genetico2,0.25,0 days 00:54:23,0.8468,0.8471,0.8468,0.8448,100,0.0444,0.3393,0.3304,0.3304
2,genetico2,0.5,0 days 03:25:32,0.8226,0.8442,0.8226,0.8174,100,0.9532,0.3297,0.3381,0.3322
3,genetico2,0.75,0 days 03:40:07,0.8118,0.8326,0.8118,0.7996,100,0.75,0.3397,0.3354,0.3249
0,genetico2,0.1,0 days 00:57:48,0.793,0.8197,0.793,0.7843,100,0.1714,0.3171,0.3449,0.338
1,genetico2,0.25,0 days 01:27:22,0.8226,0.8411,0.8226,0.8166,100,0.2036,0.3665,0.3177,0.3158
2,genetico2,0.5,0 days 02:54:38,0.8038,0.8265,0.8038,0.8004,100,0.7365,0.34,0.3351,0.3249
3,genetico2,0.75,0 days 03:35:08,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
