Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Drawings,Porcentaje Engraving,Porcentaje Iconography,Porcentaje Painting,Porcentaje Sculpture
MEM-F,0.25,3:05:16,0.9194,0.9169,0.9194,0.9177,100,0.2592,0.1534,0.1019,0.2569,0.2589,0.2289
MEM-F,0.5,7:39:56,0.9322,0.9309,0.9322,0.9313,100,0.8304,0.1429,0.098,0.2698,0.2644,0.2249
