Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
GA,0.1,0:24:38,0.8414,0.8455,0.8414,0.8367,100,0.1,0.3214,0.3254,0.3532
GA,0.25,0:50:27,0.8253,0.8315,0.8253,0.8206,100,0.25,0.3286,0.3286,0.3429
GA,0.5,1:34:33,0.8011,0.8224,0.8011,0.7947,100,0.5,0.3246,0.3222,0.3532
GA,0.75,2:17:08,0.8306,0.8488,0.8306,0.8192,100,0.75,0.3386,0.3444,0.3169
MA,0.1,0:23:57,0.8145,0.813,0.8145,0.8096,100,0.1,0.369,0.3095,0.3214
MA,0.25,0:50:00,0.8414,0.8486,0.8414,0.8354,100,0.25,0.327,0.3048,0.3683
MA,0.5,1:33:02,0.8065,0.8307,0.8065,0.8022,100,0.5,0.3262,0.3357,0.3381
MA,0.75,2:16:15,0.8253,0.842,0.8253,0.8165,100,0.75,0.3339,0.3376,0.3286
GA-WC,0.1,0:24:11,0.828,0.8298,0.828,0.8217,100,0.1,0.3532,0.3095,0.3373
GA-WC,0.25,0:49:55,0.8387,0.8451,0.8387,0.8345,100,0.25,0.3222,0.3238,0.354
GA-WC,0.5,1:33:07,0.8011,0.8224,0.8011,0.7947,100,0.5,0.3246,0.3222,0.3532
GA-WC,0.75,2:16:55,0.8226,0.8328,0.8226,0.8146,100,0.75,0.3397,0.3354,0.3249
