Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
genetico,0.1,0:30:34,0.7634,0.7959,0.7634,0.7484,100,0.1,0.3294,0.3214,0.3492
genetico,0.25,1:01:51,0.8145,0.8257,0.8145,0.8048,100,0.25,0.3492,0.319,0.3317
genetico,0.5,1:55:51,0.8011,0.8188,0.8011,0.7952,100,0.5,0.3246,0.3484,0.327
genetico,0.75,2:48:01,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
memetico,0.1,0:29:51,0.8011,0.8507,0.8011,0.7776,100,0.1,0.3571,0.2976,0.3452
memetico,0.25,1:01:25,0.8038,0.8215,0.8038,0.795,100,0.25,0.3111,0.3413,0.3476
memetico,0.5,1:55:18,0.8172,0.8307,0.8172,0.813,100,0.5,0.3484,0.3246,0.327
memetico,0.75,2:47:37,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
genetico2,0.1,0:29:44,0.7984,0.8142,0.7984,0.7872,100,0.1,0.381,0.25,0.369
genetico2,0.25,1:01:43,0.8038,0.8232,0.8038,0.7978,100,0.25,0.3524,0.3286,0.319
genetico2,0.5,1:55:01,0.8118,0.8202,0.8118,0.8053,100,0.5,0.3556,0.3206,0.3238
genetico2,0.75,2:47:30,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
