Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
GEN,0.1,0:24:26,0.8253,0.8437,0.8253,0.8163,100,0.1,0.3532,0.2778,0.369
GEN,0.25,0:50:12,0.7688,0.7998,0.7688,0.7619,100,0.25,0.3048,0.346,0.3492
GEN,0.5,1:33:29,0.8091,0.8223,0.8091,0.7986,100,0.5,0.3397,0.3325,0.3278
GEN,0.75,2:16:15,0.8226,0.84,0.8226,0.8181,100,0.75,0.3296,0.3339,0.3365
MEM,0.1,0:24:04,0.8226,0.8364,0.8226,0.8182,100,0.1,0.3571,0.3175,0.3254
MEM,0.25,0:50:07,0.8091,0.8219,0.8091,0.8005,100,0.25,0.2921,0.3587,0.3492
MEM,0.5,1:35:09,0.8145,0.8329,0.8145,0.8075,100,0.5,0.3421,0.3111,0.3468
MEM,0.75,2:23:05,0.8226,0.8391,0.8226,0.8166,100,0.75,0.3376,0.3312,0.3312
WC,0.1,0:23:52,0.8495,0.8521,0.8495,0.8474,100,0.1,0.3452,0.3492,0.3056
WC,0.25,0:50:22,0.8118,0.828,0.8118,0.8046,100,0.25,0.3095,0.3397,0.3508
WC,0.5,1:34:59,0.8091,0.8241,0.8091,0.8032,100,0.5,0.3238,0.3452,0.331
WC,0.75,2:18:18,0.8226,0.8395,0.8226,0.8178,100,0.75,0.3312,0.3365,0.3323
