Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
genetico,0.1,0:31:00,0.8038,0.8161,0.8038,0.7935,100,0.1,0.3294,0.3214,0.3492
genetico,0.25,1:02:11,0.8199,0.8313,0.8199,0.8133,100,0.25,0.3587,0.3302,0.3111
genetico,0.5,1:56:19,0.8253,0.8479,0.8253,0.8146,100,0.5,0.3397,0.331,0.3294
genetico,0.75,2:48:34,0.828,0.8474,0.828,0.8217,100,0.75,0.3344,0.3323,0.3333
memetico,0.1,0:30:03,0.8011,0.8171,0.8011,0.7891,100,0.1,0.3413,0.3016,0.3571
memetico,0.25,1:01:45,0.8118,0.82,0.8118,0.8052,100,0.25,0.3302,0.3032,0.3667
memetico,0.5,1:55:46,0.8145,0.836,0.8145,0.8079,100,0.5,0.3484,0.3175,0.3341
memetico,0.75,2:48:23,0.828,0.8478,0.828,0.8229,100,0.75,0.3392,0.328,0.3328
genetico2,0.1,0:30:06,0.8306,0.8389,0.8306,0.8222,100,0.1,0.3214,0.2857,0.3929
genetico2,0.25,1:01:56,0.8065,0.8236,0.8065,0.7964,100,0.25,0.3365,0.3079,0.3556
genetico2,0.5,1:55:51,0.8118,0.8253,0.8118,0.8038,100,0.5,0.3444,0.3294,0.3262
genetico2,0.75,2:48:00,0.8172,0.8356,0.8172,0.8107,100,0.75,0.3333,0.3328,0.3339
