Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Drawings,Porcentaje Engraving,Porcentaje Iconography,Porcentaje Painting,Porcentaje Sculpture
MA-F,0.25,4:21:54,0.9252,0.9237,0.9252,0.9244,100,0.5886,0.1428,0.0999,0.2663,0.265,0.226
MA-F,0.5,6:40:05,0.9311,0.9311,0.9311,0.9302,100,0.6162,0.1455,0.0959,0.2598,0.2668,0.2321
