Algoritmo,Porcentaje Inicial,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Drawings,Porcentaje Engraving,Porcentaje Iconography,Porcentaje Painting,Porcentaje Sculpture,Duracion
MA,0.25,0.91332,0.91028,0.91332,0.9113200000000001,10.0,0.25,0.14104,0.09596,0.27596,0.2571,0.22996,0 days 00:21:23
MA-F,0.25,0.91332,0.91028,0.91332,0.9113200000000001,10.0,0.25,0.14104,0.09596,0.27596,0.2571,0.22996,0 days 00:21:03.600000
